Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5253274974070772,0.5637636806861548,0.5164024093411069,0.5902374295895058,0.4812630442403092,0.5921025083102568,0.4683986546368963,101,DecisionTreeClassifier,Run_1
Std,0.0743073286749419,0.07964853081457576,0.07306707286888924,0.07203013821791486,0.07585321154481559,0.08690462832171109,0.07627262494575099,101,DecisionTreeClassifier,Run_1
IQR,0.0894731045022868,0.0977116155888288,0.08756007800727877,0.09071936073586664,0.08862707682066738,0.10720663487196423,0.0882934434107253,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.22701435014045773,0.0,0.0,0.21894863836691114,0.216933372884556,0.21550767310555397,101,DecisionTreeClassifier,Run_1
Jitter,0.12593051729415386,0.14295111923252624,0.12197824216494028,0.1102476758214467,0.13657689775336865,0.1359481175390266,0.1340212940212948,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6634659090909091,0.6762814070351758,0.66049008168028,0.6578220140515222,0.6672972972972974,0.6346590909090909,0.6583011583011583,101,DecisionTreeClassifier,Run_1
Label_Stability,0.8347348484848485,0.8104522613065327,0.8403733955659277,0.8532552693208432,0.8221621621621621,0.823409090909091,0.826872586872587,101,DecisionTreeClassifier,Run_1
TPR,0.6139630390143738,0.5,0.6330935251798561,0.4339622641509434,0.7012195121951219,0.28,0.7137809187279152,101,DecisionTreeClassifier,Run_1
TNR,0.7363796133567663,0.7829457364341085,0.7227272727272728,0.8022388059701493,0.6777408637873754,0.7619047619047619,0.6425531914893617,101,DecisionTreeClassifier,Run_1
PPV,0.6659242761692651,0.5555555555555556,0.6839378238341969,0.5655737704918032,0.7033639143730887,0.3181818181818182,0.7062937062937062,101,DecisionTreeClassifier,Run_1
FNR,0.3860369609856263,0.5,0.3669064748201439,0.5660377358490566,0.29878048780487804,0.72,0.2862190812720848,101,DecisionTreeClassifier,Run_1
FPR,0.26362038664323373,0.21705426356589147,0.2772727272727273,0.19776119402985073,0.3222591362126246,0.23809523809523808,0.3574468085106383,101,DecisionTreeClassifier,Run_1
Accuracy,0.6799242424242424,0.6834170854271356,0.6791131855309218,0.6651053864168618,0.6899841017488076,0.625,0.6814671814671814,101,DecisionTreeClassifier,Run_1
F1,0.6388888888888888,0.5263157894736842,0.6575342465753424,0.49110320284697506,0.7022900763358778,0.2978723404255319,0.7100175746924429,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4251893939393939,0.3165829145728643,0.45040840140023336,0.2857142857142857,0.519872813990461,0.25,0.5521235521235521,101,DecisionTreeClassifier,Run_1
Positive-Rate,0.9219712525667351,0.9,0.9256594724220624,0.7672955974842768,0.9969512195121951,0.88,1.010600706713781,101,DecisionTreeClassifier,Run_1
Mean,0.5231473337212085,0.5608313220496397,0.5143426635510142,0.5897737072919693,0.4810295797947151,0.6066223486776346,0.47160303006031257,201,DecisionTreeClassifier,Run_2
Std,0.07167355595886929,0.07845122602852507,0.07008998818558523,0.06910040301454778,0.07330017041671703,0.08533624119568409,0.0733318689848978,201,DecisionTreeClassifier,Run_2
IQR,0.0863887907395767,0.09308641337232446,0.0848239256384674,0.08187915931515793,0.08923954692595579,0.09901722717907475,0.08939176582623223,201,DecisionTreeClassifier,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,DecisionTreeClassifier,Run_2
Jitter,0.11093453474135292,0.11836262626262702,0.10919899933918617,0.10255908720456458,0.11622906030943116,0.1310832462556591,0.1178500359399256,201,DecisionTreeClassifier,Run_2
Per_Sample_Accuracy,0.6608049242424243,0.6674500000000001,0.659252336448598,0.6596088019559903,0.6615610510046368,0.6826436781609194,0.6627902621722846,201,DecisionTreeClassifier,Run_2
Label_Stability,0.8510037878787878,0.8371000000000001,0.8542523364485981,0.8613202933985329,0.8444822256568779,0.8154022988505747,0.8425093632958801,201,DecisionTreeClassifier,Run_2
TPR,0.6463157894736842,0.6233766233766234,0.6507537688442211,0.46938775510204084,0.725609756097561,0.53125,0.7314487632508834,201,DecisionTreeClassifier,Run_2
TNR,0.6987951807228916,0.7398373983739838,0.6877729257641921,0.7748091603053435,0.6363636363636364,0.8,0.6215139442231076,201,DecisionTreeClassifier,Run_2
PPV,0.6369294605809128,0.6,0.6442786069651741,0.5390625,0.672316384180791,0.6071428571428571,0.6854304635761589,201,DecisionTreeClassifier,Run_2
FNR,0.35368421052631577,0.37662337662337664,0.3492462311557789,0.5306122448979592,0.27439024390243905,0.46875,0.26855123674911663,201,DecisionTreeClassifier,Run_2
FPR,0.30120481927710846,0.2601626016260163,0.31222707423580787,0.22519083969465647,0.36363636363636365,0.2,0.3784860557768924,201,DecisionTreeClassifier,Run_2
Accuracy,0.6751893939393939,0.695,0.6705607476635514,0.6650366748166259,0.6816074188562596,0.7011494252873564,0.6797752808988764,201,DecisionTreeClassifier,Run_2
F1,0.6415882967607106,0.6114649681528662,0.6475,0.5018181818181818,0.6979472140762464,0.5666666666666667,0.7076923076923077,201,DecisionTreeClassifier,Run_2
Selection-Rate,0.4564393939393939,0.4,0.4696261682242991,0.31295843520782396,0.5471406491499228,0.3218390804597701,0.5655430711610487,201,DecisionTreeClassifier,Run_2
Positive-Rate,1.0147368421052632,1.0389610389610389,1.0100502512562815,0.8707482993197279,1.079268292682927,0.875,1.0671378091872792,201,DecisionTreeClassifier,Run_2
Mean,0.5221640902884305,0.5700240739004633,0.5104950483476876,0.5875665699716153,0.4798208312111737,0.5931957349991472,0.46488424259713684,301,DecisionTreeClassifier,Run_3
Std,0.07631834070141363,0.08210670866302025,0.07490704250582758,0.07294152911474373,0.07850457597203456,0.08723854326994168,0.07866352762849418,301,DecisionTreeClassifier,Run_3
IQR,0.0943543755516505,0.0951106798708289,0.09416997626534906,0.09001302776691725,0.09716507653552615,0.10245956095086847,0.09891977621236896,301,DecisionTreeClassifier,Run_3
Entropy,0.0,0.2216881529287159,0.0,0.0,0.0,0.0,0.0,301,DecisionTreeClassifier,Run_3
Jitter,0.1225998622589536,0.14158493144000386,0.11797099380137982,0.12532797858099068,0.12083360910193958,0.1491057947900072,0.11779076206297348,301,DecisionTreeClassifier,Run_3
Per_Sample_Accuracy,0.6565719696969696,0.6534782608695653,0.657326266195524,0.6280240963855421,0.6750546021840873,0.5931578947368421,0.6687901701323251,301,DecisionTreeClassifier,Run_3
Label_Stability,0.8363636363636364,0.8057004830917874,0.8438398115429918,0.8288674698795181,0.841216848673947,0.796,0.8469943289224954,301,DecisionTreeClassifier,Run_3
TPR,0.6421663442940039,0.5128205128205128,0.6651480637813212,0.4491017964071856,0.7342857142857143,0.35294117647058826,0.7483660130718954,301,DecisionTreeClassifier,Run_3
TNR,0.7031539888682746,0.7364341085271318,0.6926829268292682,0.7540322580645161,0.6597938144329897,0.7049180327868853,0.6278026905829597,301,DecisionTreeClassifier,Run_3
PPV,0.6747967479674797,0.5405405405405406,0.6985645933014354,0.5514705882352942,0.7219101123595506,0.4,0.7339743589743589,301,DecisionTreeClassifier,Run_3
FNR,0.3578336557059961,0.48717948717948717,0.3348519362186788,0.5508982035928144,0.26571428571428574,0.6470588235294118,0.25163398692810457,301,DecisionTreeClassifier,Run_3
FPR,0.29684601113172543,0.26356589147286824,0.3073170731707317,0.24596774193548387,0.3402061855670103,0.29508196721311475,0.3721973094170404,301,DecisionTreeClassifier,Run_3
Accuracy,0.6732954545454546,0.6521739130434783,0.6784452296819788,0.6313253012048192,0.7004680187207488,0.5789473684210527,0.6975425330812854,301,DecisionTreeClassifier,Run_3
F1,0.6580773042616452,0.5263157894736842,0.6814469078179697,0.49504950495049505,0.7280453257790368,0.375,0.7411003236245954,301,DecisionTreeClassifier,Run_3
Selection-Rate,0.4659090909090909,0.357487922705314,0.4923439340400471,0.327710843373494,0.5553822152886115,0.3157894736842105,0.5897920604914934,301,DecisionTreeClassifier,Run_3
Positive-Rate,0.9516441005802708,0.9487179487179487,0.9521640091116174,0.8143712574850299,1.0171428571428571,0.8823529411764706,1.0196078431372548,301,DecisionTreeClassifier,Run_3
