Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5327271477618896,0.5691312109239195,0.523474808668452,0.6024405954425573,0.48484091373203786,0.6260432684682952,0.47689748813482996,102,LogisticRegression,Run_1
Std,0.021737807810700293,0.02024764352548878,0.022116543151597286,0.02046294991293041,0.022613508922586963,0.01966504737959388,0.023033073506193016,102,LogisticRegression,Run_1
IQR,0.028714607168584348,0.026806837212865153,0.029199479817662622,0.02705991098168917,0.029851219565333428,0.02567069537264876,0.030316240951541704,102,LogisticRegression,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,LogisticRegression,Run_1
Jitter,0.04941861799816339,0.05499952799018253,0.04800019194318457,0.04228940568475427,0.05431568076935475,0.05818589939802038,0.05477910217636192,102,LogisticRegression,Run_1
Per_Sample_Accuracy,0.6659375000000001,0.663411214953271,0.6665795724465559,0.6683488372093023,0.6642811501597443,0.6696969696969697,0.6656947162426614,102,LogisticRegression,Run_1
Label_Stability,0.9316098484848485,0.9253271028037383,0.9332066508313539,0.9414418604651164,0.9248562300319487,0.9151515151515153,0.9227788649706458,102,LogisticRegression,Run_1
TPR,0.5811623246492986,0.5176470588235295,0.5942028985507246,0.38095238095238093,0.6827794561933535,0.34285714285714286,0.6903914590747331,102,LogisticRegression,Run_1
TNR,0.7468581687612208,0.7596899224806202,0.7429906542056075,0.851145038167939,0.6542372881355932,0.859375,0.6521739130434783,102,LogisticRegression,Run_1
PPV,0.6728538283062645,0.5866666666666667,0.6910112359550562,0.6213592233009708,0.6890243902439024,0.5714285714285714,0.708029197080292,102,LogisticRegression,Run_1
FNR,0.4188376753507014,0.4823529411764706,0.4057971014492754,0.6190476190476191,0.31722054380664655,0.6571428571428571,0.3096085409252669,102,LogisticRegression,Run_1
FPR,0.25314183123877915,0.24031007751937986,0.2570093457943925,0.14885496183206107,0.34576271186440677,0.140625,0.34782608695652173,102,LogisticRegression,Run_1
Accuracy,0.6685606060606061,0.6635514018691588,0.669833729216152,0.6674418604651163,0.6693290734824281,0.6767676767676768,0.6731898238747553,102,LogisticRegression,Run_1
F1,0.6236559139784946,0.55,0.638961038961039,0.47232472324723246,0.6858877086494689,0.42857142857142855,0.6990990990990991,102,LogisticRegression,Run_1
Selection-Rate,0.4081439393939394,0.35046728971962615,0.42280285035629456,0.23953488372093024,0.5239616613418531,0.21212121212121213,0.5362035225048923,102,LogisticRegression,Run_1
