Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5276838220990451,0.5657829323386306,0.5188370042021051,0.5913532210562413,0.4844615115191997,0.5927489404659686,0.4716165906779813,101,DecisionTreeClassifier,Run_1
Std,0.07184756635064503,0.07903690816327237,0.07017816259252035,0.07082196789827484,0.07254379932228583,0.08908888222009759,0.07286009012470111,101,DecisionTreeClassifier,Run_1
IQR,0.08556748849498078,0.0928658537374202,0.0838727689112638,0.08714117341282814,0.08449918410718932,0.10602740216439394,0.08494226505818943,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.0,0.0,0.0,0.20557169366529424,0.0,0.2017623809154407,101,DecisionTreeClassifier,Run_1
Jitter,0.1185849020508111,0.13889041165423058,0.11386985372983045,0.10476427033804118,0.12796711149652373,0.13499311294765787,0.12496431496431516,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6641193181818181,0.6753768844221106,0.661505250875146,0.6588524590163934,0.6676947535771065,0.6369318181818181,0.6595173745173745,101,DecisionTreeClassifier,Run_1
Label_Stability,0.8425189393939394,0.8114572864321608,0.8497316219369895,0.8583138173302107,0.8317965023847378,0.8175,0.8371814671814672,101,DecisionTreeClassifier,Run_1
TPR,0.6262833675564682,0.5428571428571428,0.6402877697841727,0.46540880503144655,0.7042682926829268,0.36,0.7137809187279152,101,DecisionTreeClassifier,Run_1
TNR,0.7275922671353251,0.7596899224806202,0.7181818181818181,0.7947761194029851,0.6677740863787376,0.746031746031746,0.6382978723404256,101,DecisionTreeClassifier,Run_1
PPV,0.6630434782608695,0.5507246376811594,0.6828644501278772,0.5736434108527132,0.6978851963746223,0.36,0.7038327526132404,101,DecisionTreeClassifier,Run_1
FNR,0.3737166324435318,0.45714285714285713,0.3597122302158273,0.5345911949685535,0.29573170731707316,0.64,0.2862190812720848,101,DecisionTreeClassifier,Run_1
FPR,0.27240773286467485,0.24031007751937986,0.2818181818181818,0.20522388059701493,0.33222591362126247,0.25396825396825395,0.3617021276595745,101,DecisionTreeClassifier,Run_1
Accuracy,0.6808712121212122,0.6834170854271356,0.6802800466744457,0.6721311475409836,0.6868044515103339,0.6363636363636364,0.6795366795366795,101,DecisionTreeClassifier,Run_1
F1,0.6441393875395988,0.5467625899280576,0.6608910891089109,0.5138888888888888,0.701062215477997,0.36,0.7087719298245614,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4356060606060606,0.34673366834170855,0.456242707117853,0.30210772833723654,0.5262321144674086,0.2840909090909091,0.5540540540540541,101,DecisionTreeClassifier,Run_1
Positive-Rate,0.944558521560575,0.9857142857142858,0.9376498800959233,0.8113207547169812,1.0091463414634145,1.0,1.0141342756183747,101,DecisionTreeClassifier,Run_1
