Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5298218943832999,0.565585959055187,0.5207322152386636,0.5992527345506816,0.4821297837251941,0.6236768781185171,0.47460246635595843,102,LogisticRegression,Run_1
Std,0.022001411247472295,0.02041659169731752,0.022404203864732537,0.021256624317617743,0.02251300610344268,0.020297481084316463,0.02296172568468982,102,LogisticRegression,Run_1
IQR,0.02826126153384949,0.025467602993085526,0.028971288763924893,0.027837985587250227,0.028552010187264325,0.026259915450607078,0.029399653554436918,102,LogisticRegression,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,LogisticRegression,Run_1
Jitter,0.0414983164983165,0.039875389408099676,0.04191079440485617,0.03875968992248062,0.043379481718139865,0.04893378226711561,0.04592302674494455,102,LogisticRegression,Run_1
Per_Sample_Accuracy,0.6643939393939394,0.6644859813084112,0.6643705463182897,0.666046511627907,0.6632587859424921,0.6707070707070708,0.6641878669275929,102,LogisticRegression,Run_1
Label_Stability,0.9443181818181818,0.9457943925233645,0.9439429928741092,0.9469767441860466,0.9424920127795527,0.9313131313131313,0.9389432485322896,102,LogisticRegression,Run_1
TPR,0.5851703406813628,0.5176470588235295,0.5990338164251208,0.3869047619047619,0.6858006042296072,0.34285714285714286,0.693950177935943,102,LogisticRegression,Run_1
TNR,0.748653500897666,0.7596899224806202,0.7453271028037384,0.8549618320610687,0.6542372881355932,0.859375,0.6521739130434783,102,LogisticRegression,Run_1
PPV,0.6759259259259259,0.5866666666666667,0.6946778711484594,0.6310679611650486,0.6899696048632219,0.5714285714285714,0.7090909090909091,102,LogisticRegression,Run_1
FNR,0.4148296593186373,0.4823529411764706,0.40096618357487923,0.6130952380952381,0.31419939577039274,0.6571428571428571,0.30604982206405695,102,LogisticRegression,Run_1
FPR,0.2513464991023339,0.24031007751937986,0.2546728971962617,0.1450381679389313,0.34576271186440677,0.140625,0.34782608695652173,102,LogisticRegression,Run_1
Accuracy,0.6714015151515151,0.6635514018691588,0.6733966745843231,0.672093023255814,0.670926517571885,0.6767676767676768,0.675146771037182,102,LogisticRegression,Run_1
F1,0.6272824919441461,0.55,0.6433203631647212,0.4797047970479705,0.6878787878787879,0.42857142857142855,0.7014388489208633,102,LogisticRegression,Run_1
Selection-Rate,0.4090909090909091,0.35046728971962615,0.42399049881235157,0.23953488372093024,0.5255591054313099,0.21212121212121213,0.538160469667319,102,LogisticRegression,Run_1
Positive-Rate,0.8657314629258517,0.8823529411764706,0.8623188405797102,0.6130952380952381,0.9939577039274925,0.6,0.9786476868327402,102,LogisticRegression,Run_1
