Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5309388006838951,0.5722197961362122,0.5208132734974776,0.5801468675965042,0.49753364238233055,0.5987674900459679,0.48606561049713315,103,RandomForestClassifier,Run_1
Std,0.03924805673241125,0.03861800136491308,0.03940259861500515,0.03875892307671769,0.039580107719662694,0.04001051425076691,0.040047175049590655,103,RandomForestClassifier,Run_1
IQR,0.04852120477238793,0.04913294318738451,0.048371155727200084,0.0473097433469004,0.04934361181321968,0.05037016399081807,0.049617529509044425,103,RandomForestClassifier,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,RandomForestClassifier,Run_1
Jitter,0.06879208754208756,0.08258547008547006,0.06540880503144654,0.0615144418423107,0.07373255608549725,0.06853801169590643,0.06920757967269599,103,RandomForestClassifier,Run_1
Per_Sample_Accuracy,0.6752840909090908,0.7014423076923078,0.6688679245283018,0.6716627634660421,0.6777424483306836,0.7210526315789474,0.6761627906976744,103,RandomForestClassifier,Run_1
Label_Stability,0.9089015151515151,0.8913461538461539,0.9132075471698115,0.921311475409836,0.9004769475357712,0.9136842105263158,0.9065891472868216,103,RandomForestClassifier,Run_1
TPR,0.5931558935361216,0.5,0.6088888888888889,0.4887640449438202,0.646551724137931,0.47058823529411764,0.6633986928104575,103,RandomForestClassifier,Run_1
TNR,0.7660377358490567,0.8181818181818182,0.7487437185929648,0.8192771084337349,0.7188612099644128,0.8688524590163934,0.7,103,RandomForestClassifier,Run_1
PPV,0.7155963302752294,0.6129032258064516,0.732620320855615,0.6590909090909091,0.7401315789473685,0.6666666666666666,0.7631578947368421,103,RandomForestClassifier,Run_1
FNR,0.4068441064638783,0.5,0.39111111111111113,0.5112359550561798,0.35344827586206895,0.5294117647058824,0.3366013071895425,103,RandomForestClassifier,Run_1
FPR,0.2339622641509434,0.18181818181818182,0.25125628140703515,0.18072289156626506,0.28113879003558717,0.13114754098360656,0.3,103,RandomForestClassifier,Run_1
Accuracy,0.6799242424242424,0.7019230769230769,0.6745283018867925,0.6814988290398126,0.6788553259141494,0.7263157894736842,0.6782945736434108,103,RandomForestClassifier,Run_1
F1,0.6486486486486487,0.5507246376811594,0.6650485436893204,0.5612903225806452,0.6901840490797546,0.5517241379310345,0.7097902097902098,103,RandomForestClassifier,Run_1
Selection-Rate,0.4128787878787879,0.2980769230769231,0.4410377358490566,0.3091334894613583,0.48330683624801274,0.25263157894736843,0.5155038759689923,103,RandomForestClassifier,Run_1
Positive-Rate,0.8288973384030418,0.8157894736842105,0.8311111111111111,0.7415730337078652,0.8735632183908046,0.7058823529411765,0.869281045751634,103,RandomForestClassifier,Run_1
Mean,0.5202563276749262,0.5774638660522374,0.508105472795704,0.5851101193412185,0.4764028114053381,0.598593042192691,0.4630254210237701,203,RandomForestClassifier,Run_2
Std,0.040555617814278015,0.037381889127092345,0.04122971632992595,0.03899567993380533,0.04161043295250239,0.03757182920904201,0.04235746793546266,203,RandomForestClassifier,Run_2
IQR,0.05493284056673224,0.05071771640133512,0.05582813100369948,0.05397855345143926,0.055578120425644625,0.051599583623312274,0.05655250314378566,203,RandomForestClassifier,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.08221108892461229,0.0,203,RandomForestClassifier,Run_2
