Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5258917212486267,0.5626245141029358,0.5162806510925293,0.5949254631996155,0.47734543681144714,0.568775475025177,0.4574282765388489,104,XGBClassifier,Run_1
Std,0.06691192090511322,0.07662045955657959,0.06437169760465622,0.0646466389298439,0.0685049295425415,0.08211759477853775,0.06755827367305756,104,XGBClassifier,Run_1
IQR,0.08266883302536426,0.09798266884943121,0.0786619870929023,0.08146932129876329,0.08351236062665139,0.10375242757921417,0.08104565826580078,104,XGBClassifier,Run_1
Entropy,0.13764294121863443,0.19136569400604583,0.12358645034594257,0.0,0.1406723421618917,0.0,0.12969131429376862,104,XGBClassifier,Run_1
Jitter,0.10071548821548823,0.1422628107559614,0.08984468339307049,0.09755351681957183,0.10293906810035844,0.14768518518518517,0.09425441538117595,104,XGBClassifier,Run_1
Per_Sample_Accuracy,0.6820075757575758,0.7205479452054795,0.6719235364396656,0.6830275229357798,0.6812903225806451,0.725,0.6724346076458753,104,XGBClassifier,Run_1
Label_Stability,0.8674242424242424,0.8100456621004565,0.882437275985663,0.8715596330275229,0.864516129032258,0.8041666666666666,0.876861167002012,104,XGBClassifier,Run_1
TPR,0.6305220883534136,0.6216216216216216,0.6320754716981132,0.5060240963855421,0.6927710843373494,0.65625,0.7068965517241379,104,XGBClassifier,Run_1
TNR,0.7508960573476703,0.7862068965517242,0.738498789346247,0.8074074074074075,0.6979166666666666,0.796875,0.6666666666666666,104,XGBClassifier,Run_1
PPV,0.6931567328918322,0.5974025974025974,0.7127659574468085,0.6176470588235294,0.7255520504731862,0.6176470588235294,0.7481751824817519,104,XGBClassifier,Run_1
FNR,0.36947791164658633,0.3783783783783784,0.36792452830188677,0.4939759036144578,0.3072289156626506,0.34375,0.29310344827586204,104,XGBClassifier,Run_1
FPR,0.24910394265232974,0.21379310344827587,0.26150121065375304,0.1925925925925926,0.3020833333333333,0.203125,0.3333333333333333,104,XGBClassifier,Run_1
Accuracy,0.6941287878787878,0.730593607305936,0.6845878136200717,0.6926605504587156,0.6951612903225807,0.75,0.6901408450704225,104,XGBClassifier,Run_1
F1,0.6603575184016824,0.609271523178808,0.67,0.5562913907284768,0.7087827426810478,0.6363636363636364,0.7269503546099291,104,XGBClassifier,Run_1
Selection-Rate,0.4289772727272727,0.3515981735159817,0.44922341696535245,0.3119266055045872,0.5112903225806451,0.3541666666666667,0.5513078470824949,104,XGBClassifier,Run_1
Positive-Rate,0.9096385542168675,1.0405405405405406,0.8867924528301887,0.8192771084337349,0.9548192771084337,1.0625,0.9448275862068966,104,XGBClassifier,Run_1
