Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5254833102226257,0.5534659028053284,0.5181616544723511,0.5778648257255554,0.4886472523212433,0.5575684905052185,0.4733980596065521,104,XGBClassifier,Run_1
Std,0.04593412205576897,0.04946435987949371,0.045010436326265335,0.04484628140926361,0.04669911414384842,0.052413444966077805,0.04658440127968788,104,XGBClassifier,Run_1
IQR,0.059702501773382675,0.06526801160209256,0.058246293108523105,0.058386276997284055,0.06062810500302623,0.06924587457130353,0.06024815798765217,104,XGBClassifier,Run_1
Entropy,0.1344623898641976,0.18760644282121283,0.12055731507616137,0.0,0.13198565587155428,0.0,0.12122120095048054,104,XGBClassifier,Run_1
Jitter,0.08435142238713679,0.12090578697232299,0.0747870187501524,0.08765774199588099,0.08202633311389065,0.13148809523809524,0.0744483225885928,104,XGBClassifier,Run_1
Per_Sample_Accuracy,0.6913825757575758,0.7229223744292237,0.6831302270011947,0.6906422018348624,0.6919032258064517,0.7243750000000001,0.6845070422535212,104,XGBClassifier,Run_1
Label_Stability,0.8883712121212122,0.8374429223744293,0.9016965352449223,0.8823853211009174,0.8925806451612903,0.82125,0.9030985915492958,104,XGBClassifier,Run_1
TPR,0.6465863453815262,0.5945945945945946,0.6556603773584906,0.5060240963855421,0.7168674698795181,0.59375,0.7344827586206897,104,XGBClassifier,Run_1
TNR,0.7383512544802867,0.7862068965517242,0.7215496368038741,0.8,0.6805555555555556,0.796875,0.642512077294686,104,XGBClassifier,Run_1
PPV,0.688034188034188,0.5866666666666667,0.7073791348600509,0.6086956521739131,0.7212121212121212,0.59375,0.7421602787456446,104,XGBClassifier,Run_1
FNR,0.3534136546184739,0.40540540540540543,0.3443396226415094,0.4939759036144578,0.28313253012048195,0.40625,0.2655172413793103,104,XGBClassifier,Run_1
FPR,0.2616487455197133,0.21379310344827587,0.2784503631961259,0.2,0.3194444444444444,0.203125,0.357487922705314,104,XGBClassifier,Run_1
Accuracy,0.6950757575757576,0.7214611872146118,0.6881720430107527,0.6880733944954128,0.7,0.7291666666666666,0.6961770623742455,104,XGBClassifier,Run_1
F1,0.6666666666666666,0.5906040268456376,0.6805385556915544,0.5526315789473685,0.7190332326283988,0.59375,0.7383015597920277,104,XGBClassifier,Run_1
Selection-Rate,0.4431818181818182,0.3424657534246575,0.46953405017921146,0.3165137614678899,0.532258064516129,0.3333333333333333,0.5774647887323944,104,XGBClassifier,Run_1
Positive-Rate,0.9397590361445783,1.0135135135135136,0.9268867924528302,0.8313253012048193,0.9939759036144579,1.0,0.9896551724137931,104,XGBClassifier,Run_1
Mean,0.5240247845649719,0.5571004152297974,0.5167679786682129,0.5731313228607178,0.491209477186203,0.5700936317443848,0.48087385296821594,204,XGBClassifier,Run_2
Std,0.04784800857305527,0.04905620217323303,0.04758293181657791,0.04637720435857773,0.04883086308836937,0.05340065062046051,0.049514878541231155,204,XGBClassifier,Run_2
IQR,0.06288630276861967,0.06300374293013623,0.06286053645142782,0.0602226923473056,0.06466625096485325,0.06808361427837543,0.0658317055917324,204,XGBClassifier,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,XGBClassifier,Run_2
Jitter,0.10246057513914657,0.1285972073039746,0.0967262101145306,0.10126887634486366,0.1032569236225296,0.1561018115111191,0.10304741445450348,204,XGBClassifier,Run_2
Per_Sample_Accuracy,0.6717613636363636,0.7068421052631579,0.6640646651270207,0.647517730496454,0.6879620853080569,0.6608988764044944,0.6766917293233082,204,XGBClassifier,Run_2
Label_Stability,0.8526136363636364,0.8132631578947368,0.8612471131639723,0.8556028368794325,0.8506161137440759,0.7748314606741574,0.8512781954887217,204,XGBClassifier,Run_2
TPR,0.6444007858546169,0.6,0.6509009009009009,0.47619047619047616,0.7272727272727273,0.5,0.7275641025641025,204,XGBClassifier,Run_2
TNR,0.7129798903107861,0.76,0.6990521327014217,0.7607843137254902,0.6712328767123288,0.7735849056603774,0.6454545454545455,204,XGBClassifier,Run_2
PPV,0.6762886597938145,0.5652173913043478,0.6947115384615384,0.5673758865248227,0.7209302325581395,0.6,0.7442622950819672,204,XGBClassifier,Run_2
FNR,0.3555992141453831,0.4,0.3490990990990991,0.5238095238095238,0.2727272727272727,0.5,0.2724358974358974,204,XGBClassifier,Run_2
FPR,0.2870201096892139,0.24,0.3009478672985782,0.23921568627450981,0.3287671232876712,0.22641509433962265,0.35454545454545455,204,XGBClassifier,Run_2
Accuracy,0.6799242424242424,0.7052631578947368,0.674364896073903,0.6477541371158393,0.7014218009478673,0.6629213483146067,0.693609022556391,204,XGBClassifier,Run_2
F1,0.6599597585513078,0.582089552238806,0.672093023255814,0.517799352750809,0.724087591240876,0.5454545454545454,0.7358184764991896,204,XGBClassifier,Run_2
Selection-Rate,0.45928030303030304,0.3631578947368421,0.48036951501154734,0.3333333333333333,0.5434439178515008,0.33707865168539325,0.5733082706766918,204,XGBClassifier,Run_2
Positive-Rate,0.9528487229862476,1.0615384615384615,0.9369369369369369,0.8392857142857143,1.0087976539589443,0.8333333333333334,0.9775641025641025,204,XGBClassifier,Run_2
