Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.525884682599598,0.561670465301531,0.5175750317738282,0.589698891756856,0.48256406684419395,0.5907846638841254,0.4705587372042401,101,DecisionTreeClassifier,Run_1
Std,0.06997279358839936,0.07618667235594032,0.06852989758520141,0.06903593084711264,0.07060878784997239,0.07851239019311008,0.06980862952856022,101,DecisionTreeClassifier,Run_1
IQR,0.0877615699323263,0.089292222902317,0.08740614409682085,0.08775589128767589,0.08776542491049118,0.08588070261761283,0.08685869062063283,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.0,0.0,0.0,0.24038120742810828,0.0,0.23168925329138762,101,DecisionTreeClassifier,Run_1
Jitter,0.1450069573283858,0.16788431955696817,0.13969471102326558,0.12410839745734356,0.1591940560007785,0.14246753246753224,0.15301394689149744,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6582765151515151,0.6673366834170855,0.6561726954492417,0.6518032786885247,0.6626709062003181,0.6313636363636363,0.6555598455598456,101,DecisionTreeClassifier,Run_1
Label_Stability,0.7962499999999999,0.7640201005025126,0.8037339556592765,0.8272599531615925,0.7751987281399045,0.8036363636363636,0.7843243243243243,101,DecisionTreeClassifier,Run_1
TPR,0.6016427104722792,0.5142857142857142,0.6163069544364509,0.4276729559748428,0.6859756097560976,0.32,0.696113074204947,101,DecisionTreeClassifier,Run_1
TNR,0.7381370826010545,0.7829457364341085,0.725,0.8022388059701493,0.6810631229235881,0.7777777777777778,0.6510638297872341,101,DecisionTreeClassifier,Run_1
PPV,0.6628959276018099,0.5625,0.6798941798941799,0.5619834710743802,0.7009345794392523,0.36363636363636365,0.7060931899641577,101,DecisionTreeClassifier,Run_1
FNR,0.39835728952772076,0.4857142857142857,0.38369304556354916,0.5723270440251572,0.31402439024390244,0.68,0.303886925795053,101,DecisionTreeClassifier,Run_1
FPR,0.2618629173989455,0.21705426356589147,0.275,0.19776119402985073,0.31893687707641194,0.2222222222222222,0.34893617021276596,101,DecisionTreeClassifier,Run_1
Accuracy,0.6751893939393939,0.6884422110552764,0.6721120186697783,0.6627634660421545,0.6836248012718601,0.6477272727272727,0.6756756756756757,101,DecisionTreeClassifier,Run_1
F1,0.6307857911733046,0.5373134328358209,0.6465408805031446,0.4857142857142857,0.6933744221879815,0.3404255319148936,0.701067615658363,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4185606060606061,0.32160804020100503,0.441073512252042,0.28337236533957844,0.5103338632750397,0.25,0.5386100386100386,101,DecisionTreeClassifier,Run_1
Positive-Rate,0.9075975359342916,0.9142857142857143,0.9064748201438849,0.7610062893081762,0.9786585365853658,0.88,0.9858657243816255,101,DecisionTreeClassifier,Run_1
Mean,0.524164938051432,0.5601395525048478,0.515759654300634,0.5896429011776755,0.48277314992371406,0.6019538264657571,0.47321404569699305,201,DecisionTreeClassifier,Run_2
Std,0.0705567153734371,0.07741655160192248,0.06895394989949194,0.06861456819279703,0.07178444056181701,0.08416951902614922,0.0716928293602736,201,DecisionTreeClassifier,Run_2
IQR,0.08223484287721448,0.09129157152405692,0.08011878478215782,0.08415710778412222,0.08101968623590802,0.10203128493595884,0.0805957761783699,201,DecisionTreeClassifier,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,DecisionTreeClassifier,Run_2
Jitter,0.11104437229437246,0.12202857142857142,0.10847797062750343,0.10430617234668933,0.11530391445604521,0.13239502697630726,0.11556982343499095,201,DecisionTreeClassifier,Run_2
Per_Sample_Accuracy,0.661875,0.6659,0.6609345794392524,0.6626894865525671,0.6613601236476043,0.6822988505747125,0.6630711610486892,201,DecisionTreeClassifier,Run_2
Label_Stability,0.8546590909090909,0.8366000000000001,0.8588785046728973,0.8622982885085575,0.8498299845440495,0.8197701149425286,0.8498876404494382,201,DecisionTreeClassifier,Run_2
TPR,0.64,0.5974025974025974,0.6482412060301508,0.46938775510204084,0.7164634146341463,0.53125,0.7279151943462897,201,DecisionTreeClassifier,Run_2
TNR,0.6953528399311532,0.7235772357723578,0.6877729257641921,0.7748091603053435,0.6300940438871473,0.8,0.6215139442231076,201,DecisionTreeClassifier,Run_2
PPV,0.632016632016632,0.575,0.6433915211970075,0.5390625,0.6657223796033994,0.6071428571428571,0.6843853820598007,201,DecisionTreeClassifier,Run_2
FNR,0.36,0.4025974025974026,0.35175879396984927,0.5306122448979592,0.28353658536585363,0.46875,0.27208480565371024,201,DecisionTreeClassifier,Run_2
FPR,0.3046471600688468,0.2764227642276423,0.31222707423580787,0.22519083969465647,0.36990595611285265,0.2,0.3784860557768924,201,DecisionTreeClassifier,Run_2
Accuracy,0.6704545454545454,0.675,0.669392523364486,0.6650366748166259,0.6738794435857806,0.7011494252873564,0.6779026217228464,201,DecisionTreeClassifier,Run_2
F1,0.6359832635983264,0.5859872611464968,0.6458072590738423,0.5018181818181818,0.6901615271659325,0.5666666666666667,0.7054794520547946,201,DecisionTreeClassifier,Run_2
Selection-Rate,0.45549242424242425,0.4,0.46845794392523366,0.31295843520782396,0.5455950540958269,0.3218390804597701,0.5636704119850188,201,DecisionTreeClassifier,Run_2
Positive-Rate,1.0126315789473683,1.0389610389610389,1.0075376884422111,0.8707482993197279,1.076219512195122,0.875,1.0636042402826855,201,DecisionTreeClassifier,Run_2
