Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5343452636585779,0.571526533682653,0.524895392179775,0.605224214420425,0.48565844444516876,0.6294910437503314,0.4775638382502362,102,LogisticRegression,Run_1
Std,0.0206994942699266,0.018873356915937143,0.021163619440655517,0.01916277533587514,0.0217550679786201,0.018231631759842236,0.022279267551526448,102,LogisticRegression,Run_1
IQR,0.028060526818040304,0.02588395873430056,0.028613716331009786,0.026826238228049356,0.02890836083352929,0.025896790785568828,0.02959148532371885,102,LogisticRegression,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,LogisticRegression,Run_1
Jitter,0.041515151515151526,0.048094602326912136,0.03984293955111738,0.03728903654485046,0.04441807393884069,0.0545949288806441,0.04485003394704197,102,LogisticRegression,Run_1
Per_Sample_Accuracy,0.6660984848484848,0.6611214953271028,0.6673634204275535,0.6666976744186046,0.6656869009584665,0.666060606060606,0.6676712328767124,102,LogisticRegression,Run_1
Label_Stability,0.9427272727272727,0.9345794392523364,0.9447980997624703,0.9484651162790697,0.9387859424920129,0.9204040404040404,0.9369863013698629,102,LogisticRegression,Run_1
TPR,0.5811623246492986,0.5058823529411764,0.5966183574879227,0.38095238095238093,0.6827794561933535,0.3142857142857143,0.6903914590747331,102,LogisticRegression,Run_1
TNR,0.7468581687612208,0.7596899224806202,0.7429906542056075,0.851145038167939,0.6542372881355932,0.859375,0.6521739130434783,102,LogisticRegression,Run_1
PPV,0.6728538283062645,0.581081081081081,0.6918767507002801,0.6213592233009708,0.6890243902439024,0.55,0.708029197080292,102,LogisticRegression,Run_1
FNR,0.4188376753507014,0.49411764705882355,0.4033816425120773,0.6190476190476191,0.31722054380664655,0.6857142857142857,0.3096085409252669,102,LogisticRegression,Run_1
FPR,0.25314183123877915,0.24031007751937986,0.2570093457943925,0.14885496183206107,0.34576271186440677,0.140625,0.34782608695652173,102,LogisticRegression,Run_1
Accuracy,0.6685606060606061,0.6588785046728972,0.671021377672209,0.6674418604651163,0.6693290734824281,0.6666666666666666,0.6731898238747553,102,LogisticRegression,Run_1
F1,0.6236559139784946,0.5408805031446541,0.6407263294422828,0.47232472324723246,0.6858877086494689,0.4,0.6990990990990991,102,LogisticRegression,Run_1
Selection-Rate,0.4081439393939394,0.34579439252336447,0.42399049881235157,0.23953488372093024,0.5239616613418531,0.20202020202020202,0.5362035225048923,102,LogisticRegression,Run_1
Positive-Rate,0.8637274549098196,0.8705882352941177,0.8623188405797102,0.6130952380952381,0.9909365558912386,0.5714285714285714,0.9750889679715302,102,LogisticRegression,Run_1
Mean,0.5211489463813258,0.575368927266832,0.5081666974369089,0.5761742384266197,0.4840875373175384,0.5954545613099187,0.46868229542025913,202,LogisticRegression,Run_2
Std,0.02047235244190543,0.019114084066175777,0.02079757163046042,0.019315234952347073,0.02125171049747168,0.018782963212141887,0.021637811646663316,202,LogisticRegression,Run_2
IQR,0.026846313328838405,0.024758840207719676,0.0273461308367119,0.025300432455715848,0.027887516769531086,0.024364751405881197,0.028469101652793132,202,LogisticRegression,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202,LogisticRegression,Run_2
Jitter,0.04075680272108841,0.04074429771908788,0.04075979687649713,0.031663865546218514,0.04688120573110312,0.021310418904403636,0.04462585034013593,202,LogisticRegression,Run_2
Per_Sample_Accuracy,0.6494507575757577,0.6490196078431372,0.6495539906103287,0.6139764705882352,0.6733438985736926,0.6282105263157894,0.6746360153256704,202,LogisticRegression,Run_2
Label_Stability,0.9418560606060605,0.943529411764706,0.9414553990610328,0.9558588235294118,0.9324247226624406,0.9730526315789474,0.9354789272030651,202,LogisticRegression,Run_2
TPR,0.6015325670498084,0.4230769230769231,0.6328828828828829,0.41530054644808745,0.7020648967551623,0.37142857142857144,0.7364864864864865,202,LogisticRegression,Run_2
TNR,0.704119850187266,0.8095238095238095,0.6715686274509803,0.756198347107438,0.660958904109589,0.7833333333333333,0.6106194690265486,202,LogisticRegression,Run_2
PPV,0.6652542372881356,0.5789473684210527,0.6771084337349398,0.562962962962963,0.7062314540059347,0.5,0.7124183006535948,202,LogisticRegression,Run_2
FNR,0.39846743295019155,0.5769230769230769,0.36711711711711714,0.5846994535519126,0.29793510324483774,0.6285714285714286,0.2635135135135135,202,LogisticRegression,Run_2
FPR,0.2958801498127341,0.19047619047619047,0.3284313725490196,0.24380165289256198,0.339041095890411,0.21666666666666667,0.3893805309734513,202,LogisticRegression,Run_2
Accuracy,0.6534090909090909,0.6617647058823529,0.6514084507042254,0.6094117647058823,0.6830427892234548,0.631578947368421,0.6819923371647509,202,LogisticRegression,Run_2
F1,0.6317907444668008,0.4888888888888889,0.6542491268917345,0.4779874213836478,0.7041420118343196,0.4262295081967213,0.7242524916943521,202,LogisticRegression,Run_2
Selection-Rate,0.44696969696969696,0.27941176470588236,0.48708920187793425,0.3176470588235294,0.5340729001584786,0.2736842105263158,0.5862068965517241,202,LogisticRegression,Run_2
Positive-Rate,0.9042145593869731,0.7307692307692307,0.9346846846846847,0.7377049180327869,0.9941002949852508,0.7428571428571429,1.0337837837837838,202,LogisticRegression,Run_2
