Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5329253948724242,0.5740987096870972,0.5228262799178818,0.5851708035657471,0.49745832092640047,0.6038402960712695,0.48615034956310144,103,RandomForestClassifier,Run_1
Std,0.0411188776791988,0.04000404227998027,0.04139232787145995,0.03961292463351954,0.042141201924834795,0.04122592322914609,0.04283418202181021,103,RandomForestClassifier,Run_1
IQR,0.05317089715736482,0.05180230894520942,0.05350658860562935,0.05121605464730671,0.05449795240664115,0.05245093234768213,0.05520769452752622,103,RandomForestClassifier,Run_1
Entropy,0.0,0.0,0.11037245791525668,0.10418308141873052,0.0,0.12143819802240599,0.11753158402803936,103,RandomForestClassifier,Run_1
Jitter,0.07139842300556588,0.0805651491365777,0.06914998074701587,0.0644993547770395,0.07608189221634597,0.07425993555316872,0.07393925011865198,103,RandomForestClassifier,Run_1
Per_Sample_Accuracy,0.6753977272727273,0.6988461538461539,0.6696462264150943,0.6727868852459016,0.6771701112877583,0.7166315789473684,0.6756976744186047,103,RandomForestClassifier,Run_1
Label_Stability,0.9039772727272728,0.8953846153846154,0.9060849056603774,0.9134426229508196,0.8975516693163751,0.904842105263158,0.8997674418604652,103,RandomForestClassifier,Run_1
TPR,0.5874524714828897,0.4868421052631579,0.6044444444444445,0.4887640449438202,0.6379310344827587,0.47058823529411764,0.6568627450980392,103,RandomForestClassifier,Run_1
TNR,0.7716981132075472,0.8257575757575758,0.7537688442211056,0.8192771084337349,0.7295373665480427,0.8688524590163934,0.7095238095238096,103,RandomForestClassifier,Run_1
PPV,0.7186046511627907,0.6166666666666667,0.7351351351351352,0.6590909090909091,0.7449664429530202,0.6666666666666666,0.767175572519084,103,RandomForestClassifier,Run_1
FNR,0.41254752851711024,0.5131578947368421,0.39555555555555555,0.5112359550561798,0.3620689655172414,0.5294117647058824,0.3431372549019608,103,RandomForestClassifier,Run_1
FPR,0.22830188679245284,0.17424242424242425,0.24623115577889448,0.18072289156626506,0.2704626334519573,0.13114754098360656,0.2904761904761905,103,RandomForestClassifier,Run_1
Accuracy,0.6799242424242424,0.7019230769230769,0.6745283018867925,0.6814988290398126,0.6788553259141494,0.7263157894736842,0.6782945736434108,103,RandomForestClassifier,Run_1
F1,0.6464435146443515,0.5441176470588235,0.6634146341463415,0.5612903225806452,0.6873065015479877,0.5517241379310345,0.7077464788732394,103,RandomForestClassifier,Run_1
Selection-Rate,0.4071969696969697,0.28846153846153844,0.4363207547169811,0.3091334894613583,0.4737678855325914,0.25263157894736843,0.5077519379844961,103,RandomForestClassifier,Run_1
Positive-Rate,0.8174904942965779,0.7894736842105263,0.8222222222222222,0.7415730337078652,0.8563218390804598,0.7058823529411765,0.8562091503267973,103,RandomForestClassifier,Run_1
Mean,0.523298669584525,0.5789614245774297,0.5114759259867209,0.5874677632406855,0.47990813958845446,0.5995870820888325,0.46678191115074597,203,RandomForestClassifier,Run_2
Std,0.039916901820627876,0.03739282397482641,0.04045301479591291,0.038116351267038974,0.04113441695686417,0.03720846151858582,0.04173396220821634,203,RandomForestClassifier,Run_2
IQR,0.05232868384192243,0.049312482673893154,0.05296932358484484,0.05024663968493945,0.05373654227188236,0.04916021918529806,0.054456907124366724,203,RandomForestClassifier,Run_2
Entropy,0.0,0.12953350497002014,0.0,0.0,0.0,0.130684680557136,0.0,203,RandomForestClassifier,Run_2
Jitter,0.08703772418058145,0.07882625482625479,0.08878183650038655,0.08487879658905821,0.08849757045675463,0.07974815458098175,0.09029116655938818,203,RandomForestClassifier,Run_2
Per_Sample_Accuracy,0.6709090909090908,0.7005405405405405,0.6646153846153846,0.6637558685446009,0.6757460317460318,0.6976595744680851,0.6710575139146567,203,RandomForestClassifier,Run_2
Label_Stability,0.8828030303030303,0.8988108108108108,0.8794029850746268,0.8899530516431925,0.8779682539682538,0.9034042553191489,0.8752504638218924,203,RandomForestClassifier,Run_2
TPR,0.6235059760956175,0.45454545454545453,0.6442953020134228,0.4375,0.7105263157894737,0.4,0.7307692307692307,203,RandomForestClassifier,Run_2
TNR,0.7166064981949458,0.7846153846153846,0.6957547169811321,0.793233082706767,0.6458333333333334,0.7971014492753623,0.6123348017621145,203,RandomForestClassifier,Run_2
PPV,0.6659574468085107,0.4716981132075472,0.6906474820143885,0.56,0.7043478260869566,0.4166666666666667,0.7215189873417721,203,RandomForestClassifier,Run_2
FNR,0.37649402390438247,0.5454545454545454,0.35570469798657717,0.5625,0.2894736842105263,0.6,0.2692307692307692,203,RandomForestClassifier,Run_2
FPR,0.2833935018050541,0.2153846153846154,0.30424528301886794,0.20676691729323307,0.3541666666666667,0.2028985507246377,0.3876651982378855,203,RandomForestClassifier,Run_2
Accuracy,0.6723484848484849,0.6864864864864865,0.669345579793341,0.6596244131455399,0.680952380952381,0.6914893617021277,0.6808905380333952,203,RandomForestClassifier,Run_2
F1,0.6440329218106996,0.46296296296296297,0.6666666666666666,0.49122807017543857,0.7074235807860262,0.40816326530612246,0.7261146496815286,203,RandomForestClassifier,Run_2
Selection-Rate,0.44507575757575757,0.2864864864864865,0.47876004592422505,0.2934272300469484,0.5476190476190477,0.2553191489361702,0.5862708719851577,203,RandomForestClassifier,Run_2
Positive-Rate,0.9362549800796812,0.9636363636363636,0.9328859060402684,0.78125,1.0087719298245614,0.96,1.0128205128205128,203,RandomForestClassifier,Run_2
