Metric,Model_Name,Dataset_Name,Fairness_Intervention,Experiment_Iteration,Subgroup,Metric_Value
Accuracy_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.046051478602825324
Aleatoric_Uncertainty_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.039453479952288206
Aleatoric_Uncertainty_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.9378210667828779
Epistemic_Uncertainty_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.00019617970301288867
Epistemic_Uncertainty_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,1.0156843860977631
Equalized_Odds_FNR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.02978289246650362
Equalized_Odds_FPR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.03866294011822155
IQR_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.0018067359027028468
Jitter_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.005487742554793555
Label_Stability_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,1.006401826688694
Label_Stability_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.005819931751312457
Overall_Uncertainty_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.03925730024927532
Overall_Uncertainty_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.9393262855198931
Statistical_Parity_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.10424523933347107
Disparate_Impact,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.7067633915152001
Std_Difference,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.0013421466638179683
Std_Ratio,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.9726600800914349
Equalized_Odds_TNR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.03866294011822158
Equalized_Odds_TPR,LGBMClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.029782892466503563
Accuracy_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.042668965369846656
Aleatoric_Uncertainty_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.030570948315906232
Aleatoric_Uncertainty_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.9472278565803303
Epistemic_Uncertainty_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.001760928347812718
Epistemic_Uncertainty_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.911944746634402
Equalized_Odds_FNR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.032446098216027286
Equalized_Odds_FPR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.041353443844769966
IQR_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.004989384918655498
Jitter_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.004434540676365187
Label_Stability_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,1.0058561411724893
Label_Stability_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.0052666329460208106
Overall_Uncertainty_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.03233187666371895
Overall_Uncertainty_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.9460504951028356
Statistical_Parity_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.11429304191096323
Disparate_Impact,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.6892310195605937
Std_Difference,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.004264440630384003
Std_Ratio,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.926543498469664
Equalized_Odds_TNR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.04135344384476991
Equalized_Odds_TPR,LogisticRegression,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.032446098216027286
Accuracy_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.05001246714018048
Aleatoric_Uncertainty_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.05403599491523331
Aleatoric_Uncertainty_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.8842678217109826
Epistemic_Uncertainty_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.008840899473727626
Epistemic_Uncertainty_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.8670848426287192
Equalized_Odds_FNR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.0453045056940089
Equalized_Odds_FPR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.06585309046517605
IQR_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.018223335361310378
Jitter_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.019582942603793285
Label_Stability_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,1.0330790846080675
Label_Stability_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.02734481260107302
Overall_Uncertainty_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.06287689438896094
Overall_Uncertainty_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.8821251759371405
Statistical_Parity_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.1354116649687609
Disparate_Impact,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.6557479778752567
Std_Difference,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.013300283348816333
Std_Ratio,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.8688094282793632
Equalized_Odds_TNR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.06585309046517607
Equalized_Odds_TPR,MLPClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,-0.0453045056940089
Accuracy_Difference,RandomForestClassifier,Folktables_GA_2018_Income,Baseline,Exp_iter_1,SEX,0.05503636842892656
