Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Seed,Model_Name,Model_Params,Run_Number
Mean,0.5264936420358973,0.567177129323969,0.5783895042528302,0.5418588633555727,0.5168706157686954,0.5114863652116303,0.5291715574259904,0.5884432716594872,0.5971371209350783,0.5723838000809649,0.48717576564940834,0.48281828496233714,0.4986325126244048,0.5996722545352143,0.6190998531429638,0.5653882569921275,0.47679359927952836,0.46940829369988496,0.4958969230455391,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
Std,0.06374367179828011,0.0603495746330917,0.04885145778358764,0.08631306429326216,0.0645464910340741,0.06389463044345849,0.06603574176801903,0.06083742652612158,0.055154088635474025,0.07133581457412334,0.06558819279144576,0.06436245084632589,0.0688109300404126,0.05813795474975093,0.04368617938621819,0.0836410877442205,0.0662533944495651,0.06676183935451376,0.06493821696209788,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
IQR,0.07436217109666708,0.06898956161554565,0.05780106579557287,0.09425390701548417,0.0756329756811946,0.07408165953658472,0.07917713641157263,0.06405713066208918,0.05454676183968834,0.0816248952923574,0.08090252183687906,0.08031456480075731,0.0824483864037609,0.05588712796618845,0.042054116684600726,0.08029832434546094,0.08100469830688728,0.08252142813518111,0.07708142381770061,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
Aleatoric_Uncertainty,0.8832988379339692,0.8810979335556982,0.8727404602369098,0.89996964750135,0.883819426557401,0.8716434809604897,0.9116367791903448,0.8676353622331451,0.848730618277257,0.9025566253738828,0.8932400531620466,0.884994759961427,0.9149186892176081,0.8451224259610343,0.826364852425679,0.8782240263175427,0.8893918211984541,0.8803499339544362,0.912780169536313,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
Overall_Uncertainty,0.9015171173643259,0.8994840606561885,0.8838478261262908,0.9347916870140226,0.9019980043140258,0.8904387664388941,0.9284064169979805,0.8858943035903415,0.8651605885873823,0.9241940826930298,0.9114325254871333,0.9028346289703847,0.9340382309356632,0.8638222273045143,0.8367873728632605,0.9115307939655496,0.9076002241240936,0.8994720440006572,0.928625116710049,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
Jitter,0.17175925925925928,0.16325632563256334,0.11523809523809526,0.27168458781362,0.1737704918032787,0.15256266367377475,0.2222222222222222,0.15924119241192422,0.11796157059314959,0.23549382716049377,0.1797041623667011,0.1610636277302944,0.2287141073657928,0.12765957446808507,0.05851851851851856,0.24967320261437906,0.17678645187938866,0.16174112256586484,0.2157037037037037,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
Per_Sample_Accuracy,0.6774621212121213,0.700990099009901,0.9300000000000002,0.18387096774193548,0.6718969555035128,0.8986531986531986,0.15384615384615383,0.6560975609756098,0.9218045112781955,0.16527777777777775,0.6910216718266253,0.8948717948717948,0.1550561797752809,0.672340425531915,0.9633333333333334,0.15882352941176472,0.6840148698884758,0.8927835051546392,0.144,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
Label_Stability,0.7776515151515152,0.7940594059405941,0.86,0.6451612903225806,0.7737704918032786,0.8053872053872053,0.7015384615384614,0.7921951219512195,0.849624060150376,0.6861111111111112,0.7684210526315789,0.7965811965811965,0.6943820224719102,0.8382978723404256,0.9266666666666666,0.6823529411764707,0.7710037174721188,0.7938144329896907,0.7119999999999999,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
TPR,0.6538461538461539,0.525,1.0,0.0,0.6772727272727272,1.0,0.0,0.4470588235294118,1.0,0.0,0.7542857142857143,1.0,0.0,0.3888888888888889,1.0,0.0,0.7712418300653595,1.0,0.0,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
TNR,0.7350746268656716,0.8032786885245902,1.0,0.0,0.714975845410628,1.0,0.0,0.7916666666666666,1.0,0.0,0.6891891891891891,1.0,0.0,0.7931034482758621,1.0,0.0,0.6551724137931034,1.0,0.0,100,DecisionTreeClassifier,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 0.1, 'min_weight_fraction_leaf': 0.0, 'random_state': 100, 'splitter': 'best'}",Run_1
