Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Seed,Model_Name,Model_Params,Run_Number
Mean,0.5350203187128851,0.5635729377986909,0.5698429246571499,0.55065296487823,0.5282666547136665,0.5192949339512064,0.5458985781565568,0.5929739347603994,0.5963356000039784,0.5868953071966673,0.4982386119335031,0.4885547305221572,0.5186306314439334,0.6039703284965849,0.6086943240002773,0.5938924714220409,0.49218145121261414,0.47935729768128477,0.5194700569827685,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Std,0.018164277356513065,0.016898896847594044,0.015483496675354003,0.019815479020694735,0.018463582816468146,0.017979788133467404,0.01941437375597655,0.0169368646451409,0.016191526066703522,0.018284600156835886,0.01894328542410221,0.018282540524614078,0.020334661702832022,0.015162143466413437,0.014748970083476014,0.01604358001667993,0.019050235514124332,0.018704730293101875,0.019785438484439564,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
IQR,0.019462954680778077,0.017112875880187988,0.01624546697976749,0.018900263917418107,0.020018828120730303,0.019360591925655733,0.021312445087439347,0.018493554132599187,0.017352318194695193,0.0205571588422338,0.020078208898662516,0.019603804876187198,0.021077194292144195,0.016097525880897814,0.015796401556485422,0.01673992443964426,0.020496077051194064,0.020185936410209514,0.021156027484917007,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Aleatoric_Uncertainty,0.9081961062520753,0.9086073179405297,0.8994739520886366,0.9274275869686736,0.9080988407238927,0.891197126470177,0.9413154041530696,0.8976349410648997,0.8803819558811448,0.9288321197533335,0.914899012949818,0.9002858326793438,0.9456709983270668,0.8843481188860249,0.8826831901260153,0.8878999669073795,0.9119234336745013,0.8975094573703906,0.9425950344146443,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Overall_Uncertainty,0.9094990408049904,0.9097507164775613,0.9004132999158684,0.9289914536349891,0.9094395109620639,0.8925215699310425,0.9426879645160852,0.8987593557876759,0.8814105905081243,0.9301297258822075,0.9163152495621097,0.901668998802245,0.947156873758363,0.8852521902691287,0.8835629490788048,0.8888559048084856,0.9133526252303968,0.8989695120980021,0.9439585520121209,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Jitter,0.03691077441077441,0.024642464246424654,0.02679738562091502,0.020202020202020193,0.039812646370023436,0.03517864153906556,0.04891975308641973,0.020596205962059633,0.012457912457912454,0.03531202435312024,0.04726522187822497,0.04627092846270929,0.04935897435897435,0.01749408983451537,0.011111111111111112,0.03111111111111111,0.050557620817843874,0.04735883424408016,0.05736434108527134,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Per_Sample_Accuracy,0.6600378787878788,0.6673267326732674,0.9852941176470589,0.01212121212121212,0.6583138173302108,0.9773851590106007,0.03125,0.646829268292683,0.9924242424242424,0.021917808219178082,0.6684210526315789,0.9707762557077625,0.03173076923076923,0.6829787234042554,0.99375,0.02,0.671375464684015,0.9693989071038254,0.037209302325581395,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
Label_Stability,0.9534090909090909,0.9722772277227721,0.9705882352941176,0.9757575757575758,0.9489461358313817,0.9547703180212014,0.9375,0.9746341463414635,0.9848484848484849,0.956164383561644,0.9399380804953561,0.9415525114155251,0.9365384615384615,0.9787234042553191,0.9875,0.9600000000000001,0.9345724907063198,0.9387978142076503,0.9255813953488371,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
TPR,0.5807692307692308,0.525,1.0,0.0,0.5909090909090909,1.0,0.0,0.38823529411764707,1.0,0.0,0.6742857142857143,1.0,0.0,0.3888888888888889,1.0,0.0,0.6797385620915033,1.0,0.0,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
TNR,0.746268656716418,0.7704918032786885,1.0,0.0,0.7391304347826086,1.0,0.0,0.825,1.0,0.0,0.6824324324324325,1.0,0.0,0.8620689655172413,1.0,0.0,0.6810344827586207,1.0,0.0,100,LogisticRegression,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': 100, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",Run_1
