Metric,overall,sex_priv,sex_priv_correct,sex_priv_incorrect,sex_dis,sex_dis_correct,sex_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,sex&race_priv,sex&race_priv_correct,sex&race_priv_incorrect,sex&race_dis,sex&race_dis_correct,sex&race_dis_incorrect,Model_Seed,Model_Name,Model_Params,Run_Number
Mean,0.533553270934952,0.5655737132842362,0.5823744989256654,0.5195271156003193,0.5259793489741141,0.517337942000247,0.5457216402913339,0.6072339711596142,0.6164037603676632,0.5855872556520887,0.486789978222705,0.475695771813344,0.5130231537948396,0.6010172773528646,0.6164721383608582,0.5559405994128837,0.47716739762011334,0.4599135751263823,0.5172133066179085,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
Std,0.06904160959800267,0.0695231202728718,0.0636074623601337,0.08573640492259844,0.06892771597233105,0.0663639673609403,0.07478489549220069,0.06905795092335573,0.06742602257034529,0.07291037195341321,0.06903123816859902,0.06479164436440284,0.07905611101810457,0.07447838246456974,0.07043047160671577,0.08628478913331043,0.06979828534101193,0.06630754022502448,0.07790026165960008,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
IQR,0.08036619421814317,0.08057178483045706,0.07210065363426364,0.10378895922002425,0.0803175650569167,0.07682257449747112,0.0883022742581116,0.08259867833764094,0.08116553406945576,0.08598183857729108,0.07894929253239383,0.07252826470785373,0.09413234790917091,0.09143162399857559,0.08891002511532024,0.09878628740807027,0.08052103177702638,0.07574637552544414,0.09160294999057524,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
Aleatoric_Uncertainty,0.8312552398325747,0.8394054408442615,0.8160481930076509,0.9034216015816385,0.8293274405300447,0.8080708065142006,0.8778906736277804,0.8102989461127502,0.782615200049329,0.8756507400985312,0.8445556739272001,0.8268194141417637,0.8864945382115134,0.7820006485189234,0.7544884703196885,0.8622445016000243,0.8355597161100543,0.8175932829191666,0.8772595857382878,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
Overall_Uncertainty,0.8542458169040201,0.8643743892147814,0.8383919541045826,0.935585507664955,0.8518500656080319,0.8295475508371841,0.9028027339691227,0.8343868514488925,0.8062082493189392,0.9009068302474703,0.8668498042671815,0.847236296477778,0.9132275778942086,0.8142576999841608,0.7843822807465671,0.901394339427143,0.858590280174209,0.8390160346959908,0.904021862271802,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
Jitter,0.11077441077441076,0.11551155115511558,0.08108108108108106,0.20987654320987656,0.10965391621129326,0.0873924429479985,0.16051282051282056,0.10590785907859082,0.08317901234567902,0.15956284153005465,0.11386308909528722,0.08800783162016641,0.17499999999999996,0.11063829787234043,0.08444444444444445,0.18703703703703697,0.11268071045022715,0.09007092198581561,0.16515775034293548,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
Per_Sample_Accuracy,0.6981060606060606,0.7316831683168316,0.9486486486486487,0.13703703703703707,0.6901639344262295,0.9461279461279462,0.10538461538461538,0.6951219512195121,0.9465277777777776,0.10163934426229508,0.7,0.9466960352422908,0.11666666666666668,0.727659574468085,0.9400000000000002,0.10833333333333334,0.6929368029739778,0.9446808510638299,0.10864197530864196,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
Label_Stability,0.8621212121212121,0.8554455445544553,0.8972972972972972,0.7407407407407407,0.8637002341920373,0.8922558922558921,0.7984615384615383,0.8682926829268293,0.8930555555555557,0.8098360655737704,0.8582043343653252,0.8933920704845816,0.775,0.8553191489361701,0.88,0.7833333333333333,0.8587360594795539,0.8893617021276595,0.7876543209876544,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
TPR,0.6384615384615384,0.65,1.0,0.0,0.6363636363636364,1.0,0.0,0.4823529411764706,1.0,0.0,0.7142857142857143,1.0,0.0,0.6111111111111112,1.0,0.0,0.7189542483660131,1.0,0.0,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
TNR,0.7649253731343284,0.7868852459016393,1.0,0.0,0.7584541062801933,1.0,0.0,0.8583333333333333,1.0,0.0,0.6891891891891891,1.0,0.0,0.8275862068965517,1.0,0.0,0.6724137931034483,1.0,0.0,100,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': 100, 'verbose': 0, 'warm_start': False}",Run_1
