Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6751893939393939,0.6477272727272727,0.6737451737451737,0.6884422110552764,0.6721120186697783,0.6651053864168618,0.6820349761526232,101,DecisionTreeClassifier,Run_1
Mean,0.5295455331402613,0.6320784340972498,0.4612520555242391,0.599032413422114,0.5134103065637284,0.6011404453492211,0.48094294567885304,101,DecisionTreeClassifier,Run_1
Std,0.09663454780324365,0.11785955429418453,0.09387316159087937,0.11441036655752454,0.09250690727570353,0.09607438550138327,0.09701481696523792,101,DecisionTreeClassifier,Run_1
IQR,0.13019098369492893,0.17320208184387334,0.1260745932393323,0.1623771866405828,0.12271717460953205,0.12904862422635993,0.13096648050427542,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.2958653427621382,0.28821021695974514,0.3119430102176316,0.0,0.0,0.2946476967494253,101,DecisionTreeClassifier,Run_1
Jitter,0.18163988368533843,0.19724517906336062,0.18812994812994713,0.20581188772143527,0.17602701460344392,0.1657175975208767,0.1924488124488125,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6592613636363637,0.6604545454545455,0.6525096525096525,0.6785427135678394,0.6547841306884482,0.658711943793911,0.6596343402225755,101,DecisionTreeClassifier,Run_1
Label_Stability,0.7387121212121213,0.7036363636363636,0.7301930501930503,0.6979899497487438,0.7481680280046675,0.7607962529274005,0.7237201907790143,101,DecisionTreeClassifier,Run_1
TPR,0.6262833675564682,0.24,0.7385159010600707,0.45714285714285713,0.6546762589928058,0.44025157232704404,0.7164634146341463,101,DecisionTreeClassifier,Run_1
TNR,0.7170474516695958,0.8095238095238095,0.5957446808510638,0.813953488372093,0.6886363636363636,0.7985074626865671,0.6445182724252492,101,DecisionTreeClassifier,Run_1
PPV,0.6545064377682404,0.3333333333333333,0.6875,0.5714285714285714,0.6658536585365854,0.5645161290322581,0.6871345029239766,101,DecisionTreeClassifier,Run_1
FNR,0.3737166324435318,0.76,0.26148409893992935,0.5428571428571428,0.34532374100719426,0.559748427672956,0.28353658536585363,101,DecisionTreeClassifier,Run_1
FPR,0.28295254833040423,0.19047619047619047,0.40425531914893614,0.18604651162790697,0.31136363636363634,0.20149253731343283,0.3554817275747508,101,DecisionTreeClassifier,Run_1
Accuracy,0.6751893939393939,0.6477272727272727,0.6737451737451737,0.6884422110552764,0.6721120186697783,0.6651053864168618,0.6820349761526232,101,DecisionTreeClassifier,Run_1
F1,0.640083945435467,0.27906976744186046,0.7120954003407155,0.5079365079365079,0.660217654171705,0.49469964664310956,0.7014925373134329,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4412878787878788,0.20454545454545456,0.5868725868725869,0.2814070351758794,0.47841306884480744,0.2903981264637002,0.5437201907790143,101,DecisionTreeClassifier,Run_1
Positive-Rate,0.9568788501026694,0.72,1.0742049469964665,0.8,0.9832134292565947,0.779874213836478,1.0426829268292683,101,DecisionTreeClassifier,Run_1
General_Ensemble_Accuracy,0.6846590909090909,0.6666666666666666,0.702247191011236,0.655,0.6915887850467289,0.6723716381418093,0.6924265842349304,201,DecisionTreeClassifier,Run_2
Mean,0.5206504014502629,0.6281618925508176,0.45575055233622264,0.5970481907771042,0.5028004506729634,0.5908960280695231,0.4762447425827552,201,DecisionTreeClassifier,Run_2
Std,0.09266943809616643,0.1124078924045337,0.0875386939354145,0.11392184280127467,0.08770392297815048,0.0931745284767235,0.09235014603179574,201,DecisionTreeClassifier,Run_2
IQR,0.11922585072003028,0.16146983780362512,0.10964395525034529,0.1600543821417884,0.10968647421961952,0.12075703109346038,0.1182579175318805,201,DecisionTreeClassifier,Run_2
Entropy,0.0,0.0,0.24254037964315572,0.28606810765343166,0.0,0.0,0.25549578509148096,201,DecisionTreeClassifier,Run_2
Jitter,0.160185759106214,0.16379194241263198,0.15350584496652192,0.18903636363636353,0.15344496365524413,0.1555664221678909,0.1631058654551699,201,DecisionTreeClassifier,Run_2
