Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.678030303030303,0.6590909090909091,0.6718146718146718,0.6984924623115578,0.6732788798133023,0.6721311475409836,0.6820349761526232,101,DecisionTreeClassifier,Run_1
Mean,0.5259448749673569,0.5852650110255585,0.46942324933672197,0.5606515935219742,0.5178857886285367,0.5905625261556984,0.4820788383100886,101,DecisionTreeClassifier,Run_1
Std,0.06965976968713311,0.08768431693442977,0.07238923060358925,0.07578120511313874,0.06823833952403496,0.06721043421468045,0.07132251411755805,101,DecisionTreeClassifier,Run_1
IQR,0.08280219684581995,0.11263845997937674,0.08457558315426499,0.09022357307674062,0.0810789134503086,0.08334112700512968,0.08243634123687678,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.0,0.20667574537148942,0.0,0.0,0.0,0.20886237870409335,101,DecisionTreeClassifier,Run_1
Jitter,0.12825458532695366,0.14413875598086123,0.13686242633611054,0.1444855858238561,0.12448565989068357,0.11352150868975726,0.13825621286921594,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6626420454545454,0.6454545454545455,0.6548262548262547,0.6826633165829146,0.6579929988331388,0.6592505854800936,0.6649443561208267,101,DecisionTreeClassifier,Run_1
Label_Stability,0.8326704545454545,0.8068181818181818,0.8250965250965251,0.8105527638190954,0.8378063010501752,0.8468384074941453,0.8230524642289349,101,DecisionTreeClassifier,Run_1
TPR,0.6365503080082136,0.48,0.7137809187279152,0.6,0.6426858513189448,0.49056603773584906,0.7073170731707317,101,DecisionTreeClassifier,Run_1
TNR,0.7135325131810193,0.7301587301587301,0.6212765957446809,0.751937984496124,0.7022727272727273,0.7798507462686567,0.654485049833887,101,DecisionTreeClassifier,Run_1
PPV,0.6553911205073996,0.41379310344827586,0.6941580756013745,0.5675675675675675,0.6716791979949874,0.5693430656934306,0.6904761904761905,101,DecisionTreeClassifier,Run_1
FNR,0.36344969199178645,0.52,0.2862190812720848,0.4,0.35731414868105515,0.5094339622641509,0.2926829268292683,101,DecisionTreeClassifier,Run_1
FPR,0.28646748681898065,0.2698412698412698,0.37872340425531914,0.24806201550387597,0.29772727272727273,0.22014925373134328,0.34551495016611294,101,DecisionTreeClassifier,Run_1
Accuracy,0.678030303030303,0.6590909090909091,0.6718146718146718,0.6984924623115578,0.6732788798133023,0.6721311475409836,0.6820349761526232,101,DecisionTreeClassifier,Run_1
F1,0.6458333333333334,0.4444444444444444,0.7038327526132404,0.5833333333333334,0.6568627450980392,0.527027027027027,0.6987951807228916,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4479166666666667,0.32954545454545453,0.5617760617760618,0.37185929648241206,0.46557759626604434,0.32084309133489464,0.534181240063593,101,DecisionTreeClassifier,Run_1
Positive-Rate,0.971252566735113,1.16,1.028268551236749,1.0571428571428572,0.9568345323741008,0.8616352201257862,1.024390243902439,101,DecisionTreeClassifier,Run_1
General_Ensemble_Accuracy,0.6704545454545454,0.6781609195402298,0.6741573033707865,0.67,0.6705607476635514,0.6674816625916871,0.6723338485316847,201,DecisionTreeClassifier,Run_2
Mean,0.5235959453263522,0.5950567780679233,0.4733273922461575,0.5580428777526012,0.5155475966286306,0.5875839974243738,0.48314600203718555,201,DecisionTreeClassifier,Run_2
Std,0.06632099198421383,0.07157523023215365,0.06922370989373962,0.06737363446593753,0.0660750474791382,0.06313404545007999,0.06833561506375131,201,DecisionTreeClassifier,Run_2
IQR,0.07481460825563317,0.07249787882590805,0.0768690566459747,0.07350416963204015,0.07512078550413621,0.07228027286172156,0.07641668426198533,201,DecisionTreeClassifier,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,DecisionTreeClassifier,Run_2
Jitter,0.10315988835725683,0.11578947368421058,0.10688941454760499,0.11107894736842101,0.1013096409247417,0.09710461974005917,0.1069877165866754,201,DecisionTreeClassifier,Run_2
Per_Sample_Accuracy,0.6636363636363636,0.6620689655172414,0.6626404494382022,0.6642500000000001,0.6634929906542056,0.6643031784841076,0.6632148377125192,201,DecisionTreeClassifier,Run_2
Label_Stability,0.8636363636363638,0.850574712643678,0.8608614232209738,0.8504999999999999,0.8667056074766355,0.8709046454767727,0.8590417310664605,201,DecisionTreeClassifier,Run_2
TPR,0.6484210526315789,0.5625,0.7243816254416962,0.6233766233766234,0.6532663316582915,0.4965986394557823,0.7164634146341463,201,DecisionTreeClassifier,Run_2
TNR,0.6884681583476764,0.7454545454545455,0.6175298804780877,0.6991869918699187,0.6855895196506551,0.7633587786259542,0.6269592476489029,201,DecisionTreeClassifier,Run_2
PPV,0.6298568507157464,0.5625,0.6810631229235881,0.5647058823529412,0.6435643564356436,0.5407407407407407,0.6638418079096046,201,DecisionTreeClassifier,Run_2
FNR,0.35157894736842105,0.4375,0.2756183745583039,0.37662337662337664,0.34673366834170855,0.5034013605442177,0.28353658536585363,201,DecisionTreeClassifier,Run_2
FPR,0.31153184165232356,0.2545454545454545,0.38247011952191234,0.3008130081300813,0.314410480349345,0.2366412213740458,0.3730407523510972,201,DecisionTreeClassifier,Run_2
Accuracy,0.6704545454545454,0.6781609195402298,0.6741573033707865,0.67,0.6705607476635514,0.6674816625916871,0.6723338485316847,201,DecisionTreeClassifier,Run_2
F1,0.6390041493775933,0.5625,0.702054794520548,0.5925925925925926,0.6483790523690773,0.5177304964539007,0.6891495601173021,201,DecisionTreeClassifier,Run_2
Selection-Rate,0.4630681818181818,0.367816091954023,0.5636704119850188,0.425,0.4719626168224299,0.33007334963325186,0.5471406491499228,201,DecisionTreeClassifier,Run_2
Positive-Rate,1.0294736842105263,1.0,1.0636042402826855,1.103896103896104,1.015075376884422,0.9183673469387755,1.079268292682927,201,DecisionTreeClassifier,Run_2
