Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6714015151515151,0.6666666666666666,0.675146771037182,0.6635514018691588,0.6733966745843231,0.6697674418604651,0.6725239616613419,102,LogisticRegression,Run_1
Mean,0.5338805231340455,0.627686679461719,0.47771258552330464,0.5713661216300124,0.5243533045139305,0.603570540616351,0.486010383329906,102,LogisticRegression,Run_1
Std,0.018625158353423963,0.017596982430836725,0.020019858984597367,0.016845845135868794,0.0190773828528976,0.017616534143403167,0.019317983290019713,102,LogisticRegression,Run_1
IQR,0.02439832858930598,0.023892958249600447,0.026115755922590116,0.022465812642323196,0.024889490599584268,0.023202796918876382,0.02521954043960107,102,LogisticRegression,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,LogisticRegression,Run_1
Jitter,0.02811447811447811,0.04085297418630752,0.030050010871928674,0.030218068535825527,0.02757983636843494,0.027700258397932814,0.028399006034788777,102,LogisticRegression,Run_1
Per_Sample_Accuracy,0.6670454545454545,0.6727272727272728,0.6682974559686888,0.6630841121495328,0.6680522565320665,0.6688372093023256,0.665814696485623,102,LogisticRegression,Run_1
Label_Stability,0.9659090909090909,0.9474747474747475,0.9659491193737769,0.9616822429906543,0.9669833729216153,0.9637209302325581,0.96741214057508,102,LogisticRegression,Run_1
TPR,0.5731462925851704,0.3142857142857143,0.6761565836298933,0.5058823529411764,0.5869565217391305,0.38095238095238093,0.6706948640483383,102,LogisticRegression,Run_1
TNR,0.7594254937163375,0.859375,0.6739130434782609,0.7674418604651163,0.7570093457943925,0.8549618320610687,0.6745762711864407,102,LogisticRegression,Run_1
PPV,0.680952380952381,0.55,0.7169811320754716,0.589041095890411,0.7002881844380403,0.6274509803921569,0.6981132075471698,102,LogisticRegression,Run_1
FNR,0.42685370741482964,0.6857142857142857,0.3238434163701068,0.49411764705882355,0.41304347826086957,0.6190476190476191,0.3293051359516616,102,LogisticRegression,Run_1
FPR,0.24057450628366248,0.140625,0.32608695652173914,0.23255813953488372,0.24299065420560748,0.1450381679389313,0.3254237288135593,102,LogisticRegression,Run_1
Accuracy,0.6714015151515151,0.6666666666666666,0.675146771037182,0.6635514018691588,0.6733966745843231,0.6697674418604651,0.6725239616613419,102,LogisticRegression,Run_1
F1,0.6224156692056583,0.4,0.6959706959706959,0.5443037974683544,0.6386333771353482,0.4740740740740741,0.6841294298921418,102,LogisticRegression,Run_1
Selection-Rate,0.3977272727272727,0.20202020202020202,0.5185909980430529,0.3411214953271028,0.41211401425178146,0.2372093023255814,0.5079872204472844,102,LogisticRegression,Run_1
Positive-Rate,0.8416833667334669,0.5714285714285714,0.9430604982206405,0.8588235294117647,0.8381642512077294,0.6071428571428571,0.9607250755287009,102,LogisticRegression,Run_1
General_Ensemble_Accuracy,0.65625,0.631578947368421,0.685823754789272,0.6617647058823529,0.6549295774647887,0.611764705882353,0.6862123613312203,202,LogisticRegression,Run_2
Mean,0.5206823012678767,0.5966238617292291,0.4668506978912108,0.5768302077529034,0.507238436334842,0.5768243536996474,0.4828687160325319,202,LogisticRegression,Run_2
Std,0.020255942992555502,0.017973097590966366,0.02163787089719182,0.018789810957865825,0.020606988691002328,0.01875207065303919,0.021268852254511816,202,LogisticRegression,Run_2
IQR,0.024938592853568874,0.02254904163959762,0.02629989889667347,0.02361079135647147,0.025256517155690793,0.023369798466698295,0.025995229326500727,202,LogisticRegression,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202,LogisticRegression,Run_2
Jitter,0.04015151515151515,0.015438596491228071,0.044955300127713926,0.03616557734204792,0.041105894627021376,0.030640522875817,0.04655749251628809,202,LogisticRegression,Run_2
Per_Sample_Accuracy,0.6505681818181818,0.6273684210526316,0.6777777777777778,0.6490196078431373,0.6509389671361503,0.6127058823529411,0.6760697305863709,202,LogisticRegression,Run_2
Label_Stability,0.9481060606060605,0.9831578947368421,0.9409961685823754,0.9549019607843138,0.9464788732394366,0.9614117647058823,0.9391442155309033,202,LogisticRegression,Run_2
TPR,0.6053639846743295,0.37142857142857144,0.7398648648648649,0.4230769230769231,0.6373873873873874,0.4207650273224044,0.7050147492625368,202,LogisticRegression,Run_2
TNR,0.7059925093632958,0.7833333333333333,0.6150442477876106,0.8095238095238095,0.6740196078431373,0.756198347107438,0.6643835616438356,202,LogisticRegression,Run_2
PPV,0.6680761099365751,0.5,0.7156862745098039,0.5789473684210527,0.6802884615384616,0.5661764705882353,0.7091988130563798,202,LogisticRegression,Run_2
FNR,0.3946360153256705,0.6285714285714286,0.26013513513513514,0.5769230769230769,0.36261261261261263,0.5792349726775956,0.2949852507374631,202,LogisticRegression,Run_2
FPR,0.2940074906367041,0.21666666666666667,0.38495575221238937,0.19047619047619047,0.32598039215686275,0.24380165289256198,0.3356164383561644,202,LogisticRegression,Run_2
Accuracy,0.65625,0.631578947368421,0.685823754789272,0.6617647058823529,0.6549295774647887,0.611764705882353,0.6862123613312203,202,LogisticRegression,Run_2
F1,0.6351758793969849,0.4262295081967213,0.7275747508305648,0.4888888888888889,0.6581395348837209,0.4827586206896552,0.7071005917159763,202,LogisticRegression,Run_2
Selection-Rate,0.4479166666666667,0.2736842105263158,0.5862068965517241,0.27941176470588236,0.48826291079812206,0.32,0.5340729001584786,202,LogisticRegression,Run_2
Positive-Rate,0.9061302681992337,0.7428571428571429,1.0337837837837838,0.7307692307692307,0.9369369369369369,0.7431693989071039,0.9941002949852508,202,LogisticRegression,Run_2
