Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6789772727272727,0.7263157894736842,0.6802325581395349,0.6971153846153846,0.6745283018867925,0.6791569086651054,0.6788553259141494,103,RandomForestClassifier,Run_1
Mean,0.5308509479269299,0.6007472605255048,0.4833700841186592,0.5746077938328109,0.5201181366669968,0.5824641832278877,0.4958130282552145,103,RandomForestClassifier,Run_1
Std,0.03496174533212626,0.03359892636255947,0.03614233371142391,0.0342391857122559,0.035138976937000126,0.033583855390923935,0.035897133257235,103,RandomForestClassifier,Run_1
IQR,0.04480187961195503,0.04200501618981573,0.04620661643006166,0.04319890132245312,0.0451950629659838,0.043262941113056064,0.045846596208186915,103,RandomForestClassifier,Run_1
Entropy,0.0,0.061037192547980436,0.0,0.0,0.0,0.0,0.0,103,RandomForestClassifier,Run_1
Jitter,0.050294612794612795,0.04257309941520469,0.04991386735572786,0.0544871794871795,0.04926624737945493,0.0469945355191257,0.052534887829005485,103,RandomForestClassifier,Run_1
Per_Sample_Accuracy,0.6753787878787879,0.7157894736842105,0.6753875968992248,0.6971153846153846,0.6700471698113208,0.6737704918032786,0.6764705882352942,103,RandomForestClassifier,Run_1
Label_Stability,0.9378787878787879,0.9494736842105264,0.9391472868217053,0.9326923076923077,0.9391509433962264,0.9414519906323185,0.9354531001589825,103,RandomForestClassifier,Run_1
TPR,0.591254752851711,0.47058823529411764,0.6633986928104575,0.4868421052631579,0.6088888888888889,0.4887640449438202,0.6436781609195402,103,RandomForestClassifier,Run_1
TNR,0.7660377358490567,0.8688524590163934,0.7047619047619048,0.8181818181818182,0.7487437185929648,0.8152610441767069,0.7224199288256228,103,RandomForestClassifier,Run_1
PPV,0.7149425287356321,0.6666666666666666,0.7660377358490567,0.6065573770491803,0.732620320855615,0.6541353383458647,0.7417218543046358,103,RandomForestClassifier,Run_1
FNR,0.40874524714828897,0.5294117647058824,0.3366013071895425,0.5131578947368421,0.39111111111111113,0.5112359550561798,0.3563218390804598,103,RandomForestClassifier,Run_1
FPR,0.2339622641509434,0.13114754098360656,0.29523809523809524,0.18181818181818182,0.25125628140703515,0.18473895582329317,0.2775800711743772,103,RandomForestClassifier,Run_1
Accuracy,0.6789772727272727,0.7263157894736842,0.6802325581395349,0.6971153846153846,0.6745283018867925,0.6791569086651054,0.6788553259141494,103,RandomForestClassifier,Run_1
