Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.7035984848484849,0.75,0.6981891348088531,0.7488584474885844,0.6917562724014337,0.6972477064220184,0.7080645161290322,104,XGBClassifier,Run_1
Mean,0.5291216373443604,0.5678151249885559,0.4667198061943054,0.5637398362159729,0.5200637578964233,0.591385006904602,0.4853363037109375,104,XGBClassifier,Run_1
Std,0.0458853505551815,0.049502935260534286,0.047395218163728714,0.04707067459821701,0.04557521268725395,0.04436539113521576,0.04695422574877739,104,XGBClassifier,Run_1
IQR,0.05621573788988771,0.057321926578879356,0.0587165848889821,0.055083803254175404,0.05651190716733215,0.05417712972661771,0.0576493397595421,104,XGBClassifier,Run_1
Entropy,0.0,0.0,0.07221018634892284,0.0,0.07518355109480652,0.0,0.0,104,XGBClassifier,Run_1
Jitter,0.06332070707070707,0.11944444444444446,0.0520903196959535,0.0968036529680365,0.0545599362803664,0.07166156982670742,0.05745519713261649,104,XGBClassifier,Run_1
Per_Sample_Accuracy,0.6995265151515152,0.7479166666666668,0.6915492957746479,0.7442922374429224,0.6878136200716847,0.6967889908256881,0.7014516129032258,104,XGBClassifier,Run_1
Label_Stability,0.9183712121212121,0.8375,0.9352112676056338,0.8703196347031963,0.9309438470728794,0.9055045871559634,0.9274193548387096,104,XGBClassifier,Run_1
TPR,0.6485943775100401,0.625,0.7275862068965517,0.6351351351351351,0.6509433962264151,0.5120481927710844,0.7168674698795181,104,XGBClassifier,Run_1
TNR,0.7526881720430108,0.8125,0.6570048309178744,0.8068965517241379,0.7336561743341404,0.8111111111111111,0.6979166666666666,104,XGBClassifier,Run_1
PPV,0.7006507592190889,0.625,0.74822695035461,0.6266666666666667,0.7150259067357513,0.625,0.7323076923076923,104,XGBClassifier,Run_1
FNR,0.3514056224899598,0.375,0.27241379310344827,0.36486486486486486,0.3490566037735849,0.4879518072289157,0.28313253012048195,104,XGBClassifier,Run_1
FPR,0.24731182795698925,0.1875,0.34299516908212563,0.19310344827586207,0.26634382566585957,0.18888888888888888,0.3020833333333333,104,XGBClassifier,Run_1
Accuracy,0.7035984848484849,0.75,0.6981891348088531,0.7488584474885844,0.6917562724014337,0.6972477064220184,0.7080645161290322,104,XGBClassifier,Run_1
F1,0.6736183524504692,0.625,0.7377622377622378,0.6308724832214765,0.6814814814814815,0.5629139072847682,0.7245053272450532,104,XGBClassifier,Run_1
Selection-Rate,0.4365530303030303,0.3333333333333333,0.5674044265593562,0.3424657534246575,0.46117084826762245,0.3119266055045872,0.5241935483870968,104,XGBClassifier,Run_1
Positive-Rate,0.9257028112449799,1.0,0.9724137931034482,1.0135135135135136,0.910377358490566,0.8192771084337349,0.9789156626506024,104,XGBClassifier,Run_1
General_Ensemble_Accuracy,0.6761363636363636,0.6292134831460674,0.6898496240601504,0.6894736842105263,0.6732101616628176,0.6430260047281324,0.69826224328594,204,XGBClassifier,Run_2
Mean,0.5239126682281494,0.5781988501548767,0.47360870242118835,0.5612747073173523,0.5157154202461243,0.5818189978599548,0.4852169454097748,204,XGBClassifier,Run_2
Std,0.04631363973021507,0.04736022278666496,0.04784373939037323,0.04482792317867279,0.04663960263133049,0.04527680575847626,0.047006502747535706,204,XGBClassifier,Run_2
IQR,0.05381923887144887,0.05726192339082782,0.05641329072807964,0.052665770759708005,0.05407230924238509,0.05179919697009643,0.05516912469178391,204,XGBClassifier,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,XGBClassifier,Run_2
Jitter,0.07283249158249158,0.12534332084893884,0.06817042606516291,0.09824561403508769,0.0672568642545548,0.07832939322301025,0.06915920659996491,204,XGBClassifier,Run_2
Per_Sample_Accuracy,0.6758522727272728,0.6584269662921348,0.6834586466165413,0.7126315789473685,0.6677829099307159,0.6460992907801418,0.6957345971563981,204,XGBClassifier,Run_2
Label_Stability,0.900189393939394,0.8292134831460674,0.9052631578947369,0.8652631578947368,0.9078521939953811,0.8945626477541371,0.9039494470774092,204,XGBClassifier,Run_2
TPR,0.630648330058939,0.4444444444444444,0.7147435897435898,0.5384615384615384,0.6441441441441441,0.47023809523809523,0.7096774193548387,204,XGBClassifier,Run_2
TNR,0.7184643510054844,0.7547169811320755,0.6545454545454545,0.768,0.7037914691943128,0.7568627450980392,0.684931506849315,204,XGBClassifier,Run_2
PPV,0.6757894736842105,0.5517241379310345,0.745819397993311,0.546875,0.6958637469586375,0.5602836879432624,0.7245508982035929,204,XGBClassifier,Run_2
FNR,0.3693516699410609,0.5555555555555556,0.28525641025641024,0.46153846153846156,0.35585585585585583,0.5297619047619048,0.2903225806451613,204,XGBClassifier,Run_2
FPR,0.28153564899451555,0.24528301886792453,0.34545454545454546,0.232,0.2962085308056872,0.24313725490196078,0.3150684931506849,204,XGBClassifier,Run_2
Accuracy,0.6761363636363636,0.6292134831460674,0.6898496240601504,0.6894736842105263,0.6732101616628176,0.6430260047281324,0.69826224328594,204,XGBClassifier,Run_2
F1,0.6524390243902439,0.49230769230769234,0.7299509001636661,0.5426356589147286,0.6690058479532164,0.511326860841424,0.717037037037037,204,XGBClassifier,Run_2
Selection-Rate,0.4498106060606061,0.3258426966292135,0.5620300751879699,0.3368421052631579,0.4745958429561201,0.3333333333333333,0.5276461295418642,204,XGBClassifier,Run_2
Positive-Rate,0.9332023575638507,0.8055555555555556,0.9583333333333334,0.9846153846153847,0.9256756756756757,0.8392857142857143,0.9794721407624634,204,XGBClassifier,Run_2
