Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6751893939393939,0.6730769230769231,0.6685606060606061,0.6868686868686869,0.6724941724941725,0.6774193548387096,0.6736334405144695,105,KNeighborsClassifier,Run_1
Mean,0.535715909090909,0.6196153846153846,0.4793636363636364,0.5815555555555555,0.5251375291375292,0.6034654377880184,0.4884437299035369,105,KNeighborsClassifier,Run_1
Std,0.09537658541233546,0.0959140842432007,0.09624328359953917,0.0965737476050284,0.09510031721402169,0.0939047999778037,0.09640352251617272,105,KNeighborsClassifier,Run_1
IQR,0.10872159090909089,0.10250000000000001,0.11386363636363635,0.10444444444444444,0.1097086247086247,0.102926267281106,0.11276527331189709,105,KNeighborsClassifier,Run_1
Entropy,0.23847396812265434,0.25273834588325056,0.26512715095833206,0.0,0.23481312078778202,0.0,0.26376398783882193,105,KNeighborsClassifier,Run_1
Jitter,0.17588383838383842,0.18226495726495723,0.1968013468013467,0.18462401795735128,0.17386687386687388,0.1479774705581157,0.1953554841014648,105,KNeighborsClassifier,Run_1
Per_Sample_Accuracy,0.6560606060606061,0.6586538461538461,0.6549242424242423,0.647979797979798,0.6579254079254079,0.6617511520737328,0.6520900321543408,105,KNeighborsClassifier,Run_1
Label_Stability,0.768560606060606,0.7711538461538462,0.7386363636363636,0.7666666666666667,0.768997668997669,0.8064516129032258,0.7421221864951769,105,KNeighborsClassifier,Run_1
TPR,0.6290983606557377,0.4358974358974359,0.7052631578947368,0.4852941176470588,0.6523809523809524,0.5172413793103449,0.6910828025477707,105,KNeighborsClassifier,Run_1
TNR,0.7147887323943662,0.8153846153846154,0.6255144032921811,0.7923076923076923,0.6917808219178082,0.7846153846153846,0.6558441558441559,105,KNeighborsClassifier,Run_1
PPV,0.6545842217484008,0.5862068965517241,0.6883561643835616,0.55,0.6699266503667481,0.6164383561643836,0.6718266253869969,105,KNeighborsClassifier,Run_1
FNR,0.3709016393442623,0.5641025641025641,0.29473684210526313,0.5147058823529411,0.3476190476190476,0.4827586206896552,0.3089171974522293,105,KNeighborsClassifier,Run_1
FPR,0.2852112676056338,0.18461538461538463,0.37448559670781895,0.2076923076923077,0.3082191780821918,0.2153846153846154,0.34415584415584416,105,KNeighborsClassifier,Run_1
Accuracy,0.6751893939393939,0.6730769230769231,0.6685606060606061,0.6868686868686869,0.6724941724941725,0.6774193548387096,0.6736334405144695,105,KNeighborsClassifier,Run_1
F1,0.6415882967607106,0.5,0.6967071057192374,0.515625,0.661037394451146,0.5625,0.6813186813186813,105,KNeighborsClassifier,Run_1
Selection-Rate,0.4441287878787879,0.27884615384615385,0.553030303030303,0.30303030303030304,0.4766899766899767,0.33640552995391704,0.5192926045016077,105,KNeighborsClassifier,Run_1
Positive-Rate,0.9610655737704918,0.7435897435897436,1.024561403508772,0.8823529411764706,0.9738095238095238,0.8390804597701149,1.0286624203821657,105,KNeighborsClassifier,Run_1
General_Ensemble_Accuracy,0.6666666666666666,0.6914893617021277,0.6810176125244618,0.6796116504854369,0.6635294117647059,0.648960739030023,0.6789727126805778,205,KNeighborsClassifier,Run_2
Mean,0.5408219696969696,0.6289361702127658,0.4780665362035226,0.599611650485437,0.5265741176470589,0.6060415704387992,0.4954927768860353,205,KNeighborsClassifier,Run_2
Std,0.08373151311568613,0.07812922527041312,0.08557530917483308,0.08133268048172317,0.08431287725991715,0.08148062322865754,0.08529593578195159,205,KNeighborsClassifier,Run_2
IQR,0.10419507575757574,0.10212765957446808,0.10544031311154597,0.10393203883495145,0.10425882352941175,0.10240184757505771,0.1054414125200642,205,KNeighborsClassifier,Run_2
Entropy,0.0,0.1557195997506891,0.0,0.17637294005684237,0.0,0.0,0.0,205,KNeighborsClassifier,Run_2
Jitter,0.1316287878787879,0.1127659574468085,0.1345075016307893,0.12804746494066882,0.13249673202614373,0.1258403900436233,0.13565186374175137,205,KNeighborsClassifier,Run_2
Per_Sample_Accuracy,0.6571022727272727,0.677659574468085,0.6655577299412916,0.6859223300970875,0.6501176470588235,0.6378752886836028,0.6704654895666131,205,KNeighborsClassifier,Run_2
Label_Stability,0.8365530303030304,0.8617021276595743,0.8320939334637965,0.8436893203883494,0.8348235294117646,0.8438799076212471,0.8314606741573034,205,KNeighborsClassifier,Run_2
TPR,0.556237218813906,0.40625,0.6771929824561403,0.4027777777777778,0.5827338129496403,0.38414634146341464,0.6430769230769231,205,KNeighborsClassifier,Run_2
TNR,0.7619047619047619,0.8387096774193549,0.6858407079646017,0.8283582089552238,0.7413394919168591,0.8104089219330854,0.7181208053691275,205,KNeighborsClassifier,Run_2
PPV,0.6683046683046683,0.5652173913043478,0.7310606060606061,0.5576923076923077,0.6845070422535211,0.5526315789473685,0.7133105802047781,205,KNeighborsClassifier,Run_2
FNR,0.4437627811860941,0.59375,0.32280701754385965,0.5972222222222222,0.4172661870503597,0.6158536585365854,0.3569230769230769,205,KNeighborsClassifier,Run_2
FPR,0.23809523809523808,0.16129032258064516,0.3141592920353982,0.17164179104477612,0.2586605080831409,0.1895910780669145,0.28187919463087246,205,KNeighborsClassifier,Run_2
Accuracy,0.6666666666666666,0.6914893617021277,0.6810176125244618,0.6796116504854369,0.6635294117647059,0.648960739030023,0.6789727126805778,205,KNeighborsClassifier,Run_2
