Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6799242424242424,0.6363636363636364,0.6776061776061776,0.6884422110552764,0.6779463243873979,0.6697892271662763,0.6868044515103339,101,DecisionTreeClassifier,Run_1
Mean,0.524013274877996,0.5813894690435464,0.46844894973740814,0.5564565793513981,0.5164797654378477,0.5881238320657849,0.4804914816837418,101,DecisionTreeClassifier,Run_1
Std,0.07117405091097254,0.08621939773520516,0.07337259699109261,0.07576136917279302,0.07010885098786604,0.06946975891314584,0.07233101861061006,101,DecisionTreeClassifier,Run_1
IQR,0.08710649793543411,0.10512919632287715,0.0891894992455135,0.09068175473382355,0.08627630411643818,0.08662763769326634,0.08743157476119823,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.19786640280875173,0.18562065405848543,0.19455529974807578,0.0,0.0,0.18673411765499584,101,DecisionTreeClassifier,Run_1
Jitter,0.1120779767370679,0.12420110192837447,0.11523887523887617,0.12241307547840237,0.10967811133505445,0.10592529510562335,0.11625475743122796,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6612689393939394,0.6463636363636364,0.6531660231660231,0.6833668341708543,0.6561376896149358,0.657728337236534,0.6636724960254372,101,DecisionTreeClassifier,Run_1
Label_Stability,0.843030303030303,0.8331818181818182,0.8417760617760617,0.8288442211055276,0.8463243873978996,0.8491334894613582,0.8388871224165342,101,DecisionTreeClassifier,Run_1
TPR,0.6386036960985626,0.48,0.7173144876325088,0.6,0.645083932853717,0.49056603773584906,0.7103658536585366,101,DecisionTreeClassifier,Run_1
TNR,0.7152899824253075,0.6984126984126984,0.6297872340425532,0.7364341085271318,0.7090909090909091,0.7761194029850746,0.6611295681063123,101,DecisionTreeClassifier,Run_1
PPV,0.6575052854122622,0.3870967741935484,0.7,0.5526315789473685,0.6775818639798489,0.5652173913043478,0.6955223880597015,101,DecisionTreeClassifier,Run_1
FNR,0.3613963039014374,0.52,0.2826855123674912,0.4,0.354916067146283,0.5094339622641509,0.2896341463414634,101,DecisionTreeClassifier,Run_1
