Metric,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6695075757575758,0.6767676767676768,0.6731898238747553,0.6635514018691588,0.671021377672209,0.6697674418604651,0.6693290734824281,102,LogisticRegression,Run_1
Mean,0.5325058327649341,0.6267027183229156,0.47639498154421456,0.5690543421582063,0.5232167816839838,0.6026843342390447,0.48430015283862804,102,LogisticRegression,Run_1
Std,0.021980516263020257,0.01990391264870114,0.023283962065844096,0.020436726962478738,0.022372880764583065,0.0207217403264047,0.022845170660375985,102,LogisticRegression,Run_1
IQR,0.028380385106992326,0.026108333728126067,0.030247073188713263,0.02644676026940801,0.02887182894932373,0.0266012804999595,0.029602453766775255,102,LogisticRegression,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,LogisticRegression,Run_1
Jitter,0.04367730333639408,0.05348433833282408,0.04855166142837253,0.046892287359577484,0.04286019338275853,0.03854263565891466,0.04720431148546154,102,LogisticRegression,Run_1
Per_Sample_Accuracy,0.6654545454545455,0.6672727272727274,0.6660861056751468,0.6614485981308412,0.6664726840855106,0.6671162790697674,0.6643130990415336,102,LogisticRegression,Run_1
Label_Stability,0.9393560606060607,0.9236363636363636,0.9313894324853229,0.9367289719626168,0.9400237529691211,0.9465116279069767,0.9344408945686902,102,LogisticRegression,Run_1
TPR,0.5831663326653307,0.34285714285714286,0.6903914590747331,0.5176470588235295,0.5966183574879227,0.3869047619047619,0.6827794561933535,102,LogisticRegression,Run_1
TNR,0.7468581687612208,0.859375,0.6521739130434783,0.7596899224806202,0.7429906542056075,0.851145038167939,0.6542372881355932,102,LogisticRegression,Run_1
PPV,0.6736111111111112,0.5714285714285714,0.708029197080292,0.5866666666666667,0.6918767507002801,0.625,0.6890243902439024,102,LogisticRegression,Run_1
FNR,0.4168336673346693,0.6571428571428571,0.3096085409252669,0.4823529411764706,0.4033816425120773,0.6130952380952381,0.31722054380664655,102,LogisticRegression,Run_1
FPR,0.25314183123877915,0.140625,0.34782608695652173,0.24031007751937986,0.2570093457943925,0.14885496183206107,0.34576271186440677,102,LogisticRegression,Run_1
Accuracy,0.6695075757575758,0.6767676767676768,0.6731898238747553,0.6635514018691588,0.671021377672209,0.6697674418604651,0.6693290734824281,102,LogisticRegression,Run_1
F1,0.6251342642320086,0.42857142857142855,0.6990990990990991,0.55,0.6407263294422828,0.47794117647058826,0.6858877086494689,102,LogisticRegression,Run_1
Selection-Rate,0.4090909090909091,0.21212121212121213,0.5362035225048923,0.35046728971962615,0.42399049881235157,0.24186046511627907,0.5239616613418531,102,LogisticRegression,Run_1
Positive-Rate,0.8657314629258517,0.6,0.9750889679715302,0.8823529411764706,0.8623188405797102,0.6190476190476191,0.9909365558912386,102,LogisticRegression,Run_1
General_Ensemble_Accuracy,0.6505681818181818,0.631578947368421,0.6762452107279694,0.6519607843137255,0.6502347417840375,0.6141176470588235,0.6751188589540412,202,LogisticRegression,Run_2
Mean,0.522737347818256,0.5971182367582999,0.4698069661462855,0.5776363993594362,0.5095925044914945,0.5780230823304254,0.4855005218789976,202,LogisticRegression,Run_2
Std,0.021013964018558748,0.01952154669317661,0.022275386206180157,0.019648403327604962,0.021340929254420916,0.01978651073174673,0.021840695630119932,202,LogisticRegression,Run_2
IQR,0.028406354054915796,0.02650965314183842,0.030333877183436386,0.027193356331857734,0.028696790129450825,0.02619717258591284,0.029894313047508912,202,LogisticRegression,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202,LogisticRegression,Run_2
Jitter,0.048172826752371826,0.029926634768740027,0.05346723944425074,0.0483392751039815,0.048132972921705285,0.03751158645276314,0.05535353535353483,202,LogisticRegression,Run_2
Per_Sample_Accuracy,0.6498579545454546,0.6295789473684211,0.6754406130268199,0.6478921568627451,0.6503286384976527,0.6148470588235295,0.6734389857369255,202,LogisticRegression,Run_2
Label_Stability,0.9313068181818182,0.9631578947368421,0.922911877394636,0.9318627450980392,0.9311737089201878,0.9484705882352942,0.9197464342313786,202,LogisticRegression,Run_2
