Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6676136363636364,0.6588785046728972,0.669833729216152,0.6651162790697674,0.6693290734824281,0.6666666666666666,0.6731898238747553,102,LogisticRegression,Run_1
Mean,0.5326433343666375,0.5694191178403487,0.5232965200395896,0.6028725621929241,0.4844028104604021,0.6264833198395339,0.47632547317904306,102,LogisticRegression,Run_1
Std,0.021329919694432146,0.019611916193148914,0.02176656191447325,0.020089943256275125,0.02218166069827802,0.019153541039989407,0.02267117435371257,102,LogisticRegression,Run_1
IQR,0.028688997583609623,0.02650054030330742,0.02924520881637051,0.02712702995161043,0.029761914647123442,0.025814503183427838,0.03036297213180204,102,LogisticRegression,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,LogisticRegression,Run_1
Jitter,0.04535812672176313,0.04818370622108997,0.04463998656397684,0.03821282593375607,0.05026624068157573,0.05405570860116394,0.05187254146158128,102,LogisticRegression,Run_1
Per_Sample_Accuracy,0.6664583333333333,0.6631308411214953,0.6673040380047507,0.668,0.6653993610223643,0.6703030303030303,0.6672994129158513,102,LogisticRegression,Run_1
Label_Stability,0.9380681818181819,0.9333644859813085,0.9392636579572446,0.9476279069767443,0.9315015974440894,0.9183838383838383,0.9281800391389433,102,LogisticRegression,Run_1
TPR,0.5811623246492986,0.5176470588235295,0.5942028985507246,0.38095238095238093,0.6827794561933535,0.34285714285714286,0.6903914590747331,102,LogisticRegression,Run_1
TNR,0.7450628366247756,0.751937984496124,0.7429906542056075,0.8473282442748091,0.6542372881355932,0.84375,0.6521739130434783,102,LogisticRegression,Run_1
PPV,0.6712962962962963,0.5789473684210527,0.6910112359550562,0.6153846153846154,0.6890243902439024,0.5454545454545454,0.708029197080292,102,LogisticRegression,Run_1
FNR,0.4188376753507014,0.4823529411764706,0.4057971014492754,0.6190476190476191,0.31722054380664655,0.6571428571428571,0.3096085409252669,102,LogisticRegression,Run_1
FPR,0.25493716337522443,0.24806201550387597,0.2570093457943925,0.15267175572519084,0.34576271186440677,0.15625,0.34782608695652173,102,LogisticRegression,Run_1
Accuracy,0.6676136363636364,0.6588785046728972,0.669833729216152,0.6651162790697674,0.6693290734824281,0.6666666666666666,0.6731898238747553,102,LogisticRegression,Run_1
F1,0.6229860365198711,0.546583850931677,0.638961038961039,0.47058823529411764,0.6858877086494689,0.42105263157894735,0.6990990990990991,102,LogisticRegression,Run_1
Selection-Rate,0.4090909090909091,0.35514018691588783,0.42280285035629456,0.24186046511627907,0.5239616613418531,0.2222222222222222,0.5362035225048923,102,LogisticRegression,Run_1
Positive-Rate,0.8657314629258517,0.8941176470588236,0.8599033816425121,0.6190476190476191,0.9909365558912386,0.6285714285714286,0.9750889679715302,102,LogisticRegression,Run_1
General_Ensemble_Accuracy,0.6534090909090909,0.6617647058823529,0.6514084507042254,0.6094117647058823,0.6830427892234548,0.631578947368421,0.6819923371647509,202,LogisticRegression,Run_2
Mean,0.521226460921889,0.5760942267413494,0.5080891085425815,0.5765011094554361,0.48399710176696403,0.5956703990383796,0.4683288062612359,202,LogisticRegression,Run_2
Std,0.021222385686584286,0.020006873588190366,0.021513423794650433,0.02018364544754895,0.021922012630467044,0.019817120335116543,0.02228738350511483,202,LogisticRegression,Run_2
