Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6761363636363636,0.6834170854271356,0.6744457409568262,0.667447306791569,0.6820349761526232,0.6363636363636364,0.6737451737451737,101,DecisionTreeClassifier,Run_1
Mean,0.5264896742800959,0.5637996403108171,0.5178260999042341,0.5899278093685898,0.4834243584092105,0.5945660951445926,0.4714278173557239,101,DecisionTreeClassifier,Run_1
Std,0.07090820951201048,0.07896532725353651,0.06903730352535509,0.07243754040843896,0.06987001508788494,0.09197126831929606,0.07013052312533577,101,DecisionTreeClassifier,Run_1
IQR,0.08112167828826403,0.08921580257857815,0.07924217918234511,0.08418385369233834,0.07904290420632487,0.10467667850607011,0.07948955548489471,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,DecisionTreeClassifier,Run_1
Jitter,0.10599747474747474,0.13266331658291455,0.09980552314274603,0.1024199843871975,0.10842607313195547,0.1431818181818182,0.10501930501930501,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6644886363636364,0.6814070351758794,0.6605600933488915,0.6604215456674473,0.6672496025437201,0.6420454545454546,0.6575289575289576,101,DecisionTreeClassifier,Run_1
Label_Stability,0.8573863636363637,0.8190954773869347,0.8662777129521587,0.862295081967213,0.8540540540540541,0.8022727272727272,0.8586872586872586,101,DecisionTreeClassifier,Run_1
TPR,0.6303901437371663,0.5428571428571428,0.645083932853717,0.4716981132075472,0.7073170731707317,0.36,0.7173144876325088,101,DecisionTreeClassifier,Run_1
TNR,0.7152899824253075,0.7596899224806202,0.7022727272727273,0.7835820895522388,0.654485049833887,0.746031746031746,0.6212765957446809,101,DecisionTreeClassifier,Run_1
PPV,0.6545842217484008,0.5507246376811594,0.6725,0.5639097744360902,0.6904761904761905,0.36,0.6952054794520548,101,DecisionTreeClassifier,Run_1
