Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6922348484848485,0.7168949771689498,0.6857825567502986,0.676605504587156,0.7032258064516129,0.6875,0.6941649899396378,104,XGBClassifier,Run_1
Mean,0.5258578658103943,0.5602853894233704,0.5168499946594238,0.5882459282875061,0.4819849729537964,0.5657608509063721,0.46366456151008606,104,XGBClassifier,Run_1
Std,0.04325796291232109,0.04436296969652176,0.04296883940696716,0.042283277958631516,0.043943386524915695,0.04959000647068024,0.044849198311567307,104,XGBClassifier,Run_1
IQR,0.05335630170267188,0.05523433390001184,0.05286491693419225,0.05221166636008735,0.054161238814553904,0.06255125890796383,0.05530899355349166,104,XGBClassifier,Run_1
Entropy,0.0,0.0,0.08362020418002794,0.0,0.0,0.0,0.08595872696474488,104,XGBClassifier,Run_1
Jitter,0.06858164983164981,0.10096397767630645,0.06010885437408735,0.0736493374108053,0.0650179211469534,0.12870370370370374,0.06147999105745585,104,XGBClassifier,Run_1
Per_Sample_Accuracy,0.6908143939393939,0.7319634703196347,0.6800477897252092,0.6814220183486239,0.6974193548387096,0.71875,0.6863179074446679,104,XGBClassifier,Run_1
Label_Stability,0.9119318181818182,0.8602739726027397,0.9254480286738351,0.9022935779816513,0.9187096774193548,0.8208333333333333,0.9255533199195171,104,XGBClassifier,Run_1
TPR,0.6365461847389559,0.6081081081081081,0.6415094339622641,0.4879518072289157,0.7108433734939759,0.5625,0.7206896551724138,104,XGBClassifier,Run_1
TNR,0.7419354838709677,0.7724137931034483,0.7312348668280871,0.7925925925925926,0.6944444444444444,0.75,0.6570048309178744,104,XGBClassifier,Run_1
PPV,0.6876355748373102,0.5769230769230769,0.7101827676240209,0.5912408759124088,0.7283950617283951,0.5294117647058824,0.7464285714285714,104,XGBClassifier,Run_1
FNR,0.3634538152610442,0.3918918918918919,0.3584905660377358,0.5120481927710844,0.2891566265060241,0.4375,0.2793103448275862,104,XGBClassifier,Run_1
FPR,0.25806451612903225,0.22758620689655173,0.2687651331719128,0.2074074074074074,0.3055555555555556,0.25,0.34299516908212563,104,XGBClassifier,Run_1
Accuracy,0.6922348484848485,0.7168949771689498,0.6857825567502986,0.676605504587156,0.7032258064516129,0.6875,0.6941649899396378,104,XGBClassifier,Run_1
