Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6827651515151515,0.6616161616161617,0.6876456876456877,0.6797235023041475,0.684887459807074,0.6634615384615384,0.6893939393939394,105,KNeighborsClassifier,Run_1
Mean,0.5479090909090909,0.6007878787878788,0.5357062937062936,0.6167926267281105,0.49984565916398715,0.6393076923076924,0.4894621212121212,105,KNeighborsClassifier,Run_1
Std,0.09128450055600783,0.09293374318356809,0.0909039061034939,0.0887445588054826,0.09305674287068298,0.0922665184441882,0.09294721748752634,105,KNeighborsClassifier,Run_1
IQR,0.11502840909090908,0.11671717171717169,0.11463869463869462,0.11235023041474654,0.11689710610932474,0.11471153846153845,0.11653409090909088,105,KNeighborsClassifier,Run_1
Entropy,0.20952184393066775,0.0,0.2086164210270318,0.0,0.2337121354582896,0.21102410206682914,0.23684332750078493,105,KNeighborsClassifier,Run_1
Jitter,0.15690235690235685,0.16127946127946124,0.15589225589225592,0.13046594982078855,0.17534833869239014,0.15876068376068375,0.17735690235690238,105,KNeighborsClassifier,Run_1
Per_Sample_Accuracy,0.6606060606060606,0.6601010101010102,0.6607226107226105,0.6654377880184331,0.6572347266881029,0.664423076923077,0.6575757575757576,105,KNeighborsClassifier,Run_1
Label_Stability,0.7890151515151516,0.780808080808081,0.7909090909090909,0.8248847926267281,0.7639871382636657,0.7865384615384616,0.7621212121212121,105,KNeighborsClassifier,Run_1
TPR,0.5942622950819673,0.38235294117647056,0.6285714285714286,0.4482758620689655,0.6751592356687898,0.3333333333333333,0.6982456140350877,105,KNeighborsClassifier,Run_1
TNR,0.7588028169014085,0.8076923076923077,0.7442922374429224,0.8346153846153846,0.6948051948051948,0.8615384615384616,0.6790123456790124,105,KNeighborsClassifier,Run_1
PPV,0.6791569086651054,0.5098039215686274,0.7021276595744681,0.6446280991735537,0.6928104575163399,0.5909090909090909,0.7184115523465704,105,KNeighborsClassifier,Run_1
FNR,0.4057377049180328,0.6176470588235294,0.37142857142857144,0.5517241379310345,0.3248407643312102,0.6666666666666666,0.3017543859649123,105,KNeighborsClassifier,Run_1
FPR,0.24119718309859156,0.19230769230769232,0.2557077625570776,0.16538461538461538,0.3051948051948052,0.13846153846153847,0.32098765432098764,105,KNeighborsClassifier,Run_1
Accuracy,0.6827651515151515,0.6616161616161617,0.6876456876456877,0.6797235023041475,0.684887459807074,0.6634615384615384,0.6893939393939394,105,KNeighborsClassifier,Run_1
F1,0.6338797814207651,0.4369747899159664,0.6633165829145728,0.5288135593220339,0.6838709677419355,0.4262295081967213,0.708185053380783,105,KNeighborsClassifier,Run_1
Selection-Rate,0.4043560606060606,0.25757575757575757,0.4382284382284382,0.27880184331797236,0.4919614147909968,0.21153846153846154,0.5246212121212122,105,KNeighborsClassifier,Run_1
Positive-Rate,0.875,0.75,0.8952380952380953,0.6954022988505747,0.9745222929936306,0.5641025641025641,0.9719298245614035,105,KNeighborsClassifier,Run_1
General_Ensemble_Accuracy,0.6685606060606061,0.6893203883495146,0.6635294117647059,0.6443418013856813,0.6853932584269663,0.6914893617021277,0.684931506849315,205,KNeighborsClassifier,Run_2
Mean,0.5392840909090908,0.5971650485436893,0.5252564705882352,0.6034364896073904,0.4946966292134832,0.6272765957446808,0.4777769080234833,205,KNeighborsClassifier,Run_2
Std,0.09024543002079738,0.09074699249428868,0.09012387488016305,0.08988254219981703,0.09049764579364569,0.08936307354498245,0.09018841837347584,205,KNeighborsClassifier,Run_2
IQR,0.11085227272727272,0.11155339805825241,0.11068235294117645,0.11046189376443417,0.11112359550561796,0.10797872340425534,0.11037181996086104,205,KNeighborsClassifier,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205,KNeighborsClassifier,Run_2
Jitter,0.1460227272727273,0.14207119741100327,0.14698039215686273,0.13215293815755713,0.1556625646513287,0.10874704491725767,0.15251141552511413,205,KNeighborsClassifier,Run_2
Per_Sample_Accuracy,0.6546401515151514,0.6733009708737864,0.6501176470588235,0.6316397228637414,0.6706260032102729,0.6702127659574468,0.6694716242661448,205,KNeighborsClassifier,Run_2
Label_Stability,0.8107954545454545,0.8184466019417477,0.8089411764705883,0.8277136258660509,0.7990369181380418,0.8638297872340426,0.8031311154598827,205,KNeighborsClassifier,Run_2
TPR,0.5746421267893661,0.4305555555555556,0.5995203836930456,0.40853658536585363,0.6584615384615384,0.4375,0.6912280701754386,205,KNeighborsClassifier,Run_2
TNR,0.7495590828924162,0.8283582089552238,0.7251732101616628,0.7881040892193308,0.714765100671141,0.8225806451612904,0.6769911504424779,205,KNeighborsClassifier,Run_2
PPV,0.6643026004728132,0.5740740740740741,0.6775067750677507,0.5403225806451613,0.7157190635451505,0.56,0.7296296296296296,205,KNeighborsClassifier,Run_2
FNR,0.42535787321063395,0.5694444444444444,0.40047961630695444,0.5914634146341463,0.3415384615384615,0.5625,0.3087719298245614,205,KNeighborsClassifier,Run_2
