Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.6931818181818182,0.7102803738317757,0.6888361045130641,0.6930232558139535,0.6932907348242812,0.7272727272727273,0.6927592954990215,102,RandomForestClassifier,Run_1
Mean,0.5364878801561153,0.5761551643671794,0.5264061713423769,0.5982521011779578,0.49406197753727776,0.625022735768753,0.4850544884635342,102,RandomForestClassifier,Run_1
Std,0.03772125017558246,0.036223034976004646,0.03810203171086708,0.0359812589645252,0.038916451806180904,0.03367525554042135,0.039029001260872734,102,RandomForestClassifier,Run_1
IQR,0.05011018164165796,0.048148268725632964,0.05060881509062393,0.04808671140230107,0.05150010528850057,0.044821635758584596,0.05160993804973732,102,RandomForestClassifier,Run_1
Entropy,0.11798049830152277,0.12470112780867501,0.0,0.10022936308868613,0.0,0.08886861996184857,0.0,102,RandomForestClassifier,Run_1
Jitter,0.07209366391184589,0.07626357028226237,0.0710338539792223,0.059752877613342546,0.08057056184851727,0.053427201305990074,0.07711557848544402,102,RandomForestClassifier,Run_1
Per_Sample_Accuracy,0.6817992424242424,0.6986915887850468,0.6775059382422803,0.6882325581395349,0.6773801916932907,0.7212121212121213,0.6769471624266143,102,RandomForestClassifier,Run_1
Label_Stability,0.9001515151515151,0.8958878504672897,0.9012351543942992,0.9224186046511628,0.8848562300319488,0.9301010101010102,0.8890019569471623,102,RandomForestClassifier,Run_1
TPR,0.6172344689378757,0.5294117647058824,0.6352657004830918,0.4583333333333333,0.6978851963746223,0.4,0.7117437722419929,102,RandomForestClassifier,Run_1
TNR,0.7612208258527827,0.8294573643410853,0.7406542056074766,0.8435114503816794,0.688135593220339,0.90625,0.6695652173913044,102,RandomForestClassifier,Run_1
PPV,0.6984126984126984,0.6716417910447762,0.7032085561497327,0.652542372881356,0.7151702786377709,0.7,0.7246376811594203,102,RandomForestClassifier,Run_1
FNR,0.38276553106212424,0.47058823529411764,0.3647342995169082,0.5416666666666666,0.3021148036253776,0.6,0.28825622775800713,102,RandomForestClassifier,Run_1
FPR,0.23877917414721722,0.17054263565891473,0.25934579439252337,0.15648854961832062,0.31186440677966104,0.09375,0.33043478260869563,102,RandomForestClassifier,Run_1
Accuracy,0.6931818181818182,0.7102803738317757,0.6888361045130641,0.6930232558139535,0.6932907348242812,0.7272727272727273,0.6927592954990215,102,RandomForestClassifier,Run_1
F1,0.6553191489361702,0.5921052631578947,0.6675126903553299,0.5384615384615384,0.7064220183486238,0.509090909090909,0.718132854578097,102,RandomForestClassifier,Run_1
Selection-Rate,0.41761363636363635,0.3130841121495327,0.44418052256532065,0.2744186046511628,0.5159744408945687,0.20202020202020202,0.5401174168297456,102,RandomForestClassifier,Run_1
Positive-Rate,0.8837675350701403,0.788235294117647,0.9033816425120773,0.7023809523809523,0.9758308157099698,0.5714285714285714,0.9822064056939501,102,RandomForestClassifier,Run_1
General_Ensemble_Accuracy,0.6685606060606061,0.6715686274509803,0.6678403755868545,0.6258823529411764,0.6973058637083994,0.6210526315789474,0.6934865900383141,202,RandomForestClassifier,Run_2
Mean,0.5239316310749682,0.5830205021085881,0.5097835915317072,0.5780789379526213,0.4874615749370878,0.5984388651996886,0.470313723274178,202,RandomForestClassifier,Run_2
Std,0.03860664096520368,0.03730069721960633,0.03891933172119178,0.03763315174113709,0.03926231912721367,0.03875776451566962,0.03993710491467577,202,RandomForestClassifier,Run_2
IQR,0.051135936909553655,0.04904879054943728,0.0516356761788773,0.04956977435243859,0.052190800755471105,0.05073401674913801,0.05315358926395626,202,RandomForestClassifier,Run_2
Entropy,0.0,0.0,0.0,0.0,0.0,0.0919017718562508,0.0,202,RandomForestClassifier,Run_2
Jitter,0.054073882767064874,0.056219053277876976,0.053560250391236595,0.05316838978015496,0.05468376314652013,0.05204891015417386,0.05360424165021844,202,RandomForestClassifier,Run_2
Per_Sample_Accuracy,0.6659185606060607,0.6689215686274509,0.6651995305164319,0.6340941176470588,0.6873534072900159,0.6334736842105263,0.6847509578544061,202,RandomForestClassifier,Run_2
Label_Stability,0.9327083333333334,0.9319607843137255,0.9328873239436619,0.9344470588235294,0.9315372424722662,0.9389473684210526,0.93272030651341,202,RandomForestClassifier,Run_2
TPR,0.6206896551724138,0.4358974358974359,0.6531531531531531,0.4426229508196721,0.7168141592920354,0.3142857142857143,0.7432432432432432,202,RandomForestClassifier,Run_2
TNR,0.7153558052434457,0.8174603174603174,0.6838235294117647,0.7644628099173554,0.6746575342465754,0.8,0.6283185840707964,202,RandomForestClassifier,Run_2
PPV,0.680672268907563,0.5964912280701754,0.6921241050119332,0.5869565217391305,0.7189349112426036,0.4782608695652174,0.7236842105263158,202,RandomForestClassifier,Run_2
FNR,0.3793103448275862,0.5641025641025641,0.34684684684684686,0.5573770491803278,0.2831858407079646,0.6857142857142857,0.25675675675675674,202,RandomForestClassifier,Run_2
FPR,0.2846441947565543,0.18253968253968253,0.3161764705882353,0.23553719008264462,0.3253424657534247,0.2,0.37168141592920356,202,RandomForestClassifier,Run_2
Accuracy,0.6685606060606061,0.6715686274509803,0.6678403755868545,0.6258823529411764,0.6973058637083994,0.6210526315789474,0.6934865900383141,202,RandomForestClassifier,Run_2
F1,0.6492985971943888,0.5037037037037037,0.6720741599073001,0.5046728971962616,0.7178729689807977,0.3793103448275862,0.7333333333333333,202,RandomForestClassifier,Run_2
