Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed
General_Ensemble_Accuracy,0.6676136363636364,0.6962616822429907,0.6603325415676959,0.6476190476190476,0.6808176100628931,0.6559139784946236,0.6699029126213593,623
Mean,0.5240409518019578,0.5581587167834038,0.5153696908684311,0.5771315540190259,0.488981120149177,0.5940272313899695,0.4792049699854277,623
Std,0.07433945347904498,0.07524525995304332,0.07410923663173424,0.06953105269098245,0.07751481249002967,0.07679176106419189,0.07832731823820861,623
IQR,0.08779953951986692,0.08220568302161028,0.08922125601704856,0.07905879067713922,0.09357173215185693,0.07859983994494486,0.0955910497025947,623
Entropy,0.1923407219654361,0.18093514657552792,0.1952395261619211,0.16103255775795805,0.2130159247439594,0.17156469777213573,0.21886121099573552,623
Jitter,0.12099747474747491,0.11134050788256412,0.123451858249958,0.101976430976431,0.13355854138872977,0.10550233517975484,0.13772442875355517,623
Per_Sample_Accuracy,0.6564772727272727,0.6952803738317758,0.6466152019002376,0.6459761904761905,0.6634119496855346,0.6537634408602151,0.6484271844660194,623
Label_Stability,0.8377272727272729,0.8516822429906542,0.8341805225653208,0.861095238095238,0.8222955974842767,0.8606451612903226,0.8170097087378643,623
TPR,0.6313559322033898,0.618421052631579,0.6338383838383839,0.4720496894409938,0.7138263665594855,0.4722222222222222,0.7084870848708487,623
TNR,0.696917808219178,0.7391304347826086,0.6838565022421524,0.7567567567567568,0.6492307692307693,0.7719298245614035,0.6270491803278688,623
PPV,0.6273684210526316,0.5662650602409639,0.6403061224489796,0.5467625899280576,0.6607142857142857,0.5666666666666667,0.6784452296819788,623
FNR,0.3686440677966102,0.3815789473684211,0.3661616161616162,0.5279503105590062,0.2861736334405145,0.5277777777777778,0.2915129151291513,623
FPR,0.3030821917808219,0.2608695652173913,0.31614349775784756,0.24324324324324326,0.3507692307692308,0.22807017543859648,0.3729508196721312,623
Accuracy,0.6676136363636364,0.6962616822429907,0.6603325415676959,0.6476190476190476,0.6808176100628931,0.6559139784946236,0.6699029126213593,623
F1,0.6293558606124604,0.5911949685534591,0.6370558375634517,0.5066666666666667,0.6862442040185471,0.5151515151515151,0.6931407942238267,623
Selection-Rate,0.4498106060606061,0.3878504672897196,0.4655581947743468,0.33095238095238094,0.5283018867924528,0.3225806451612903,0.5495145631067961,623
Positive-Rate,1.00635593220339,1.0921052631578947,0.98989898989899,0.8633540372670807,1.0803858520900322,0.8333333333333334,1.044280442804428,623
