Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed
General_Ensemble_Accuracy,0.6799242424242424,0.6591928251121076,0.6854741896758704,0.6716417910447762,0.6850152905198776,0.6728971962616822,0.6933085501858736,492
Mean,0.5201220569753804,0.565524465844859,0.5079675105433351,0.5810830789553796,0.4826506030977664,0.6061987990063086,0.47287139411935064,492
Std,0.021520212479786152,0.01921122829812147,0.02213834389936746,0.019990339714741595,0.022460592986740153,0.019146334867917694,0.023148293185342315,492
IQR,0.027994550260818634,0.024941943936836353,0.028811754594849907,0.026028327885549873,0.029203145665800352,0.024786273622655813,0.030090957332979736,492
Entropy,0.0793872486370071,0.0,0.08057528537909231,0.07781057831658501,0.0,0.0,0.0,492
Jitter,0.049364286807468453,0.04558771572224457,0.05037530163580599,0.04902055379667306,0.04957557223612256,0.04052109883885721,0.04942773459502109,492
Per_Sample_Accuracy,0.6745359848484848,0.6521076233183857,0.6805402160864344,0.664228855721393,0.6808715596330275,0.6633644859813083,0.6893122676579926,492
Label_Stability,0.9356249999999999,0.9424215246636772,0.9338055222088835,0.9345273631840795,0.9362996941896025,0.9461682242990656,0.935724907063197,492
TPR,0.6328600405679513,0.45569620253164556,0.6666666666666666,0.44,0.717201166180758,0.3235294117647059,0.7416107382550335,492
TNR,0.7211367673179396,0.7708333333333334,0.7040572792362768,0.8095238095238095,0.6495176848874598,0.8356164383561644,0.6333333333333333,492
PPV,0.6652452025586354,0.5217391304347826,0.69,0.5789473684210527,0.6929577464788732,0.4782608695652174,0.7152103559870551,492
FNR,0.3671399594320487,0.5443037974683544,0.3333333333333333,0.56,0.282798833819242,0.6764705882352942,0.25838926174496646,492
FPR,0.27886323268206037,0.22916666666666666,0.29594272076372313,0.19047619047619047,0.3504823151125402,0.1643835616438356,0.36666666666666664,492
Accuracy,0.6799242424242424,0.6591928251121076,0.6854741896758704,0.6716417910447762,0.6850152905198776,0.6728971962616822,0.6933085501858736,492
F1,0.6486486486486487,0.4864864864864865,0.6781326781326781,0.5,0.7048710601719198,0.38596491228070173,0.728171334431631,492
Selection-Rate,0.4441287878787879,0.3094170403587444,0.4801920768307323,0.2835820895522388,0.5428134556574924,0.21495327102803738,0.5743494423791822,492
Positive-Rate,0.9513184584178499,0.8734177215189873,0.966183574879227,0.76,1.0349854227405249,0.6764705882352942,1.0369127516778522,492
