Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,SEX&RAC1P_priv,SEX&RAC1P_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.8005,0.8271983640081799,0.7749510763209393,0.806340718105424,0.7894356005788712,0.8304552590266876,0.7585714285714286,102,KNeighborsClassifier,Run_1
Mean,0.521129,0.4904826175869121,0.5504559686888454,0.5085042016806722,0.5450448625180897,0.4653594976452119,0.55248,102,KNeighborsClassifier,Run_1
Std,0.06801851748873611,0.06406926298500898,0.07179774537977829,0.06808247651775869,0.06789735631798276,0.06408455888781468,0.07165485150835789,102,KNeighborsClassifier,Run_1
IQR,0.0810475,0.07656952965235173,0.08533268101761252,0.08131016042780749,0.08054992764109985,0.07677394034536891,0.0848,102,KNeighborsClassifier,Run_1
Entropy,0.0,0.0,0.0,0.0,0.1306369347131581,0.0,0.15162687997101645,102,KNeighborsClassifier,Run_1
Jitter,0.09024444444444445,0.07892524426266756,0.10107632093933461,0.08762414056531703,0.09520823283486089,0.07933019361590792,0.1118095238095238,102,KNeighborsClassifier,Run_1
Per_Sample_Accuracy,0.7892,0.8166155419222904,0.7629647749510763,0.7928571428571428,0.7822720694645441,0.8189952904238619,0.7531428571428572,102,KNeighborsClassifier,Run_1
Label_Stability,0.8826,0.8990797546012269,0.8668297455968689,0.8862490450725746,0.8756874095513748,0.8976452119309262,0.8502857142857143,102,KNeighborsClassifier,Run_1
TPR,0.8772421524663677,0.9091891891891892,0.8428405122235157,0.8871103622577927,0.8576214405360134,0.9131121642969984,0.8163934426229508,102,KNeighborsClassifier,Run_1
TNR,0.7387184115523465,0.7536372453928225,0.7257383966244726,0.7393431167016072,0.7375796178343949,0.748829953198128,0.7139240506329114,102,KNeighborsClassifier,Run_1
PPV,0.7299440298507462,0.7680365296803653,0.6901811248808389,0.738429172510519,0.713091922005571,0.7821380243572396,0.6878453038674033,102,KNeighborsClassifier,Run_1
FNR,0.12275784753363228,0.09081081081081081,0.15715948777648428,0.11288963774220724,0.1423785594639866,0.08688783570300158,0.18360655737704917,102,KNeighborsClassifier,Run_1
FPR,0.2612815884476534,0.2463627546071775,0.2742616033755274,0.2606568832983927,0.2624203821656051,0.25117004680187205,0.28607594936708863,102,KNeighborsClassifier,Run_1
Accuracy,0.8005,0.8271983640081799,0.7749510763209393,0.806340718105424,0.7894356005788712,0.8304552590266876,0.7585714285714286,102,KNeighborsClassifier,Run_1
F1,0.7968431771894093,0.8326732673267326,0.7589098532494759,0.8059701492537313,0.7787072243346007,0.8425655976676385,0.7466266866566716,102,KNeighborsClassifier,Run_1
Selection-Rate,0.536,0.5598159509202454,0.5132093933463796,0.5446906035141329,0.5195369030390738,0.5800627943485086,0.5171428571428571,102,KNeighborsClassifier,Run_1
Positive-Rate,1.201793721973094,1.1837837837837837,1.221187427240978,1.2013479359730412,1.202680067001675,1.1674565560821486,1.1868852459016392,102,KNeighborsClassifier,Run_1
General_Ensemble_Accuracy,0.79675,0.8224489795918367,0.7720588235294118,0.7962049335863378,0.7978021978021979,0.825751734772552,0.7806267806267806,202,KNeighborsClassifier,Run_2
Mean,0.511751,0.46282448979591834,0.5587588235294119,0.4922474383301708,0.5494007326007325,0.42261835003855047,0.5568831908831909,202,KNeighborsClassifier,Run_2
Std,0.06764040929918434,0.06489597490594792,0.07027721881425461,0.06893081625885762,0.0651494039228187,0.06613741795343751,0.06768241684415677,202,KNeighborsClassifier,Run_2
IQR,0.081845,0.07800510204081632,0.08553431372549018,0.08371537001897532,0.07823443223443223,0.08007710100231302,0.08227920227920227,202,KNeighborsClassifier,Run_2
Entropy,0.0,0.0,0.13950335373154008,0.12315459651024684,0.0,0.107284881755406,0.14134326416610105,202,KNeighborsClassifier,Run_2
Jitter,0.08946666666666671,0.07658730158730159,0.10184095860566451,0.08926839553025512,0.08984940984940991,0.07759787543904738,0.1042418486862931,202,KNeighborsClassifier,Run_2
Per_Sample_Accuracy,0.78755,0.8158673469387755,0.7603431372549019,0.7867552182163188,0.789084249084249,0.8202775636083269,0.7719373219373219,202,KNeighborsClassifier,Run_2
Label_Stability,0.8831,0.9005102040816326,0.8663725490196079,0.8837950664136621,0.8817582417582417,0.8983808789514263,0.86011396011396,202,KNeighborsClassifier,Run_2
TPR,0.8665219750406945,0.9101123595505618,0.8171296296296297,0.8709422011084719,0.8568965517241379,0.9144079885877318,0.8178807947019867,202,KNeighborsClassifier,Run_2
TNR,0.7371349095966621,0.7349643221202854,0.7389455782312925,0.7274052478134111,0.7541401273885351,0.7214765100671141,0.7525,202,KNeighborsClassifier,Run_2
PPV,0.737985212569316,0.7741094700260643,0.6969397828232972,0.746268656716418,0.7202898550724638,0.7942998760842627,0.7138728323699421,202,KNeighborsClassifier,Run_2
FNR,0.13347802495930547,0.0898876404494382,0.18287037037037038,0.1290577988915281,0.14310344827586208,0.08559201141226819,0.18211920529801323,202,KNeighborsClassifier,Run_2
FPR,0.26286509040333794,0.2650356778797146,0.26105442176870747,0.2725947521865889,0.24585987261146497,0.2785234899328859,0.2475,202,KNeighborsClassifier,Run_2
Accuracy,0.79675,0.8224489795918367,0.7720588235294118,0.7962049335863378,0.7978021978021979,0.825751734772552,0.7806267806267806,202,KNeighborsClassifier,Run_2
F1,0.797105066134265,0.8366197183098592,0.7522642514651039,0.803799780781878,0.7826771653543307,0.850132625994695,0.7623456790123457,202,KNeighborsClassifier,Run_2
Selection-Rate,0.541,0.5872448979591837,0.4965686274509804,0.5593927893738141,0.5054945054945055,0.6222050886661527,0.4928774928774929,202,KNeighborsClassifier,Run_2
Positive-Rate,1.1741725447639717,1.1756894790602657,1.1724537037037037,1.1670625494853524,1.1896551724137931,1.151212553495007,1.1456953642384107,202,KNeighborsClassifier,Run_2
