Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,SEX&RAC1P_priv,SEX&RAC1P_dis,Model_Seed,Model_Name,Run_Number
General_Ensemble_Accuracy,0.835,0.8565510098394614,0.8148864185596907,0.8313931656027037,0.8421839940164547,0.8558139534883721,0.8275862068965517,101,DecisionTreeClassifier,Run_1
Mean,0.5628515024800337,0.5348901106798621,0.5889479005303629,0.5541443515677207,0.5801941673113648,0.5170396594859312,0.5888332740076614,101,DecisionTreeClassifier,Run_1
Std,0.05770672241390107,0.060865611438639694,0.054758527775539405,0.057636240768802645,0.057847105825192834,0.06136943159004692,0.0560009361371122,101,DecisionTreeClassifier,Run_1
IQR,0.0644399262059494,0.07005017368324003,0.059203875998772915,0.06455861463999021,0.0642035258320895,0.0713957783622259,0.061312906239135885,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.0,0.09040224700793421,0.0,0.08209365667839193,0.0,0.10204191012338146,101,DecisionTreeClassifier,Run_1
Jitter,0.04583050505050493,0.03473962828701313,0.05618163266302568,0.04363454295110335,0.0502043622462472,0.03427797353378744,0.06359137350516678,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.8281700000000001,0.8492024857586742,0.8085403576607058,0.8253398422831394,0.8338070306656694,0.849782945736434,0.8207040229885058,101,DecisionTreeClassifier,Run_1
Label_Stability,0.93922,0.9559709994821336,0.9235862735621073,0.9419752159218926,0.9337322363500374,0.9563100775193798,0.9138793103448275,101,DecisionTreeClassifier,Run_1
TPR,0.8512208972174901,0.8536585365853658,0.8486612339930152,0.8361858190709046,0.8857677902621723,0.8361153262518968,0.872852233676976,101,DecisionTreeClassifier,Run_1
TNR,0.8222420723537294,0.859086491739553,0.7909090909090909,0.8272980501392758,0.813200498132005,0.8763866877971473,0.7950617283950617,101,DecisionTreeClassifier,Run_1
PPV,0.790195044807591,0.8415300546448088,0.7423625254582484,0.8053375196232339,0.7592295345104334,0.875993640699523,0.7537091988130564,101,DecisionTreeClassifier,Run_1
FNR,0.14877910278250994,0.14634146341463414,0.15133876600698487,0.16381418092909536,0.11423220973782772,0.1638846737481032,0.12714776632302405,101,DecisionTreeClassifier,Run_1
FPR,0.17775792764627066,0.14091350826044705,0.20909090909090908,0.17270194986072424,0.18679950186799502,0.12361331220285261,0.20493827160493827,101,DecisionTreeClassifier,Run_1
Accuracy,0.835,0.8565510098394614,0.8148864185596907,0.8313931656027037,0.8421839940164547,0.8558139534883721,0.8275862068965517,101,DecisionTreeClassifier,Run_1
F1,0.8195735374521597,0.8475509080902587,0.7919608908202064,0.8204718112754898,0.8176318063958513,0.8555900621118012,0.8089171974522293,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.47425,0.47384774728120144,0.4746254229096182,0.4784078107397672,0.46596858638743455,0.4875968992248062,0.48419540229885055,101,DecisionTreeClassifier,Run_1
Positive-Rate,1.077228847245883,1.0144124168514412,1.1431897555296857,1.0383048084759576,1.1666666666666667,0.9544764795144158,1.1580756013745706,101,DecisionTreeClassifier,Run_1
