index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.679,0.6667,0.7207,0.6768,0.6884,0.6628,0.69
Mean,0.53,0.5922,0.5694,0.5147,0.5957,0.5998,0.4826
Std,0.1049,0.0974,0.1201,0.1006,0.1235,0.1037,0.1058
IQR,0.1363,0.1273,0.1531,0.1322,0.1541,0.133,0.1385
Entropy,0.0,0.0,0.3138,0.0,0.2976,0.0,0.2914
Jitter,0.1761,0.1553,0.2025,0.1724,0.1917,0.16,0.1869
Per_Sample_Accuracy,0.6535,0.6563,0.6827,0.6508,0.6652,0.6535,0.6534
Label_Stability,0.7482,0.7792,0.7129,0.7532,0.727,0.7721,0.7321
TPR,0.6242299794661191,0.4552238805970149,0.6,0.645083932853717,0.5,0.4339622641509434,0.7164634146341463
TNR,0.7258347978910369,0.8048780487804879,0.803030303030303,0.7068181818181818,0.7906976744186046,0.7985074626865671,0.6611295681063123
PPV,0.6608695652173913,0.6039603960396039,0.675,0.6758793969849246,0.5645161290322581,0.5609756097560976,0.6973293768545994
FNR,0.3757700205338809,0.5447761194029851,0.4,0.354916067146283,0.5,0.5660377358490566,0.28353658536585363
FPR,0.2741652021089631,0.1951219512195122,0.19696969696969696,0.29318181818181815,0.20930232558139536,0.20149253731343283,0.3388704318936877
Accuracy,0.6789772727272727,0.6666666666666666,0.7207207207207207,0.676779463243874,0.6884422110552764,0.6627634660421545,0.6899841017488076
F1,0.6420274551214361,0.5191489361702127,0.6352941176470588,0.660122699386503,0.5303030303030303,0.48936170212765956,0.706766917293233
Selection-Rate,0.4356060606060606,0.29793510324483774,0.36036036036036034,0.4644107351225204,0.31155778894472363,0.28805620608899296,0.5357710651828299
Positive-Rate,0.944558521560575,0.753731343283582,0.8888888888888888,0.9544364508393285,0.8857142857142857,0.7735849056603774,1.0274390243902438
