index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6893939393939394,0.6948640483383686,0.6608695652173913,0.684085510688836,0.7102803738317757,0.7116279069767442,0.6741214057507987
Mean,0.5388748049736023,0.6028555631637573,0.6164337992668152,0.512035071849823,0.6444777846336365,0.6199384927749634,0.4831920862197876
Std,0.09141311049461365,0.08558591455221176,0.10233595222234726,0.08904093503952026,0.10074662417173386,0.08865135908126831,0.0933101624250412
IQR,0.12299919410636931,0.11428875996086893,0.1400596577188243,0.1192824299007017,0.13762309813053808,0.11900944630073947,0.12573975569809587
Entropy,0.23667415470298375,0.0,0.25690912852753683,0.0,0.2501031528114616,0.21707947682144813,0.0
Jitter,0.15057531978072158,0.13236514900786908,0.16383875901246844,0.14781001205552668,0.16145564269947507,0.13842538272759397,0.1589211231878242
Per_Sample_Accuracy,0.6724526515151514,0.6755891238670695,0.6721304347826088,0.6655166270783848,0.6997429906542056,0.6885348837209303,0.661405750798722
Label_Stability,0.7896780303030304,0.8118429003021147,0.7771304347826087,0.7937885985748219,0.7735046728971964,0.802046511627907,0.7811821086261981
TPR,0.6052104208416834,0.46616541353383456,0.42,0.6376811594202898,0.4470588235294118,0.47023809523809523,0.6737160120845922
TNR,0.7648114901256733,0.8484848484848485,0.8461538461538461,0.7289719626168224,0.8837209302325582,0.8664122137404581,0.6745762711864407
PPV,0.6974595842956121,0.6739130434782609,0.6774193548387096,0.6947368421052632,0.7169811320754716,0.6929824561403509,0.6990595611285266
FNR,0.39478957915831664,0.5338345864661654,0.58,0.36231884057971014,0.5529411764705883,0.5297619047619048,0.32628398791540786
FPR,0.23518850987432674,0.15151515151515152,0.15384615384615385,0.27102803738317754,0.11627906976744186,0.13358778625954199,0.3254237288135593
Accuracy,0.6893939393939394,0.6948640483383686,0.6608695652173913,0.684085510688836,0.7102803738317757,0.7116279069767442,0.6741214057507987
F1,0.648068669527897,0.5511111111111111,0.5185185185185185,0.6649874055415617,0.5507246376811594,0.5602836879432624,0.6861538461538461
Selection-Rate,0.4100378787878788,0.27794561933534745,0.26956521739130435,0.4513064133016627,0.24766355140186916,0.2651162790697674,0.5095846645367412
Positive-Rate,0.8677354709418837,0.6917293233082706,0.62,0.9178743961352657,0.6235294117647059,0.6785714285714286,0.9637462235649547
