index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.696969696969697,0.6737160120845922,0.7130434782608696,0.6864608076009501,0.7383177570093458,0.6953488372093023,0.6980830670926518
Mean,0.5395272812653311,0.6001328931177358,0.5716352494552301,0.5209592255346844,0.6125847715700256,0.6139513373269874,0.4884053258236184
Std,0.1068797582119208,0.0956977691116967,0.1326819560567906,0.1027261782885638,0.1232223483776526,0.0995049283308334,0.1119455359257668
IQR,0.136988884657234,0.1209624507756514,0.172138656139921,0.1324755500139606,0.1547469583471229,0.1240894763649627,0.1458495005768453
Entropy,0.2798427031909582,0.2374359881857803,0.3378039917706609,0.0,0.2874853640934662,0.2355016766322537,0.0
Jitter,0.1792862513324201,0.150635048353542,0.2202761634258377,0.1774572386875006,0.1864826468792551,0.1498505317284101,0.1995056753415644
Per_Sample_Accuracy,0.665033143939394,0.6696978851963746,0.6616521739130434,0.6588717339667458,0.6892757009345795,0.6815930232558141,0.6536581469648564
Label_Stability,0.7450094696969697,0.7896676737160121,0.6822608695652175,0.7490736342042755,0.729018691588785,0.7882093023255814,0.7153354632587859
TPR,0.6132264529058116,0.4285714285714285,0.58,0.6352657004830918,0.5058823529411764,0.4226190476190476,0.7099697885196374
TNR,0.7719928186714542,0.8383838383838383,0.8153846153846154,0.735981308411215,0.8914728682170543,0.8702290076335878,0.6847457627118644
PPV,0.7066974595842956,0.6404494382022472,0.7073170731707317,0.699468085106383,0.7543859649122807,0.6761904761904762,0.7164634146341463
FNR,0.3867735470941884,0.5714285714285714,0.42,0.3647342995169082,0.4941176470588235,0.5773809523809523,0.2900302114803625
FPR,0.2280071813285457,0.1616161616161616,0.1846153846153846,0.264018691588785,0.1085271317829457,0.1297709923664122,0.3152542372881356
Accuracy,0.696969696969697,0.6737160120845922,0.7130434782608696,0.6864608076009501,0.7383177570093458,0.6953488372093023,0.6980830670926518
F1,0.6566523605150214,0.5135135135135135,0.6373626373626373,0.6658227848101266,0.6056338028169014,0.5201465201465202,0.7132018209408194
Selection-Rate,0.4100378787878788,0.2688821752265861,0.3565217391304348,0.4465558194774346,0.2663551401869158,0.2441860465116279,0.5239616613418531
Positive-Rate,0.8677354709418837,0.6691729323308271,0.82,0.9082125603864736,0.6705882352941176,0.625,0.9909365558912386
