index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6600378787878788,0.6144578313253012,0.6548672566371682,0.652122641509434,0.6923076923076923,0.6416861826697893,0.6724960254372019
Mean,0.5421780303030301,0.603879518072289,0.6708613569321531,0.5118062106918237,0.6660016025641025,0.616414519906323,0.4917821939586644
Std,0.1202261754226367,0.1213871319285409,0.1190379076022869,0.1204535848768849,0.1192990445707018,0.1209916756719511,0.119706511501401
IQR,0.1638415404040404,0.1641064257028112,0.1643067846607669,0.1639347484276729,0.1634615384615384,0.1637392661982825,0.1639109697933227
Entropy,0.3081913142624773,0.3204907242399998,0.2490584000246582,0.3178909733150096,0.2686465504329228,0.3141400555853431,0.3041529795329644
Jitter,0.1975514885031221,0.2070960222800918,0.1553946724774207,0.2047052479378016,0.1683861615771165,0.2019217869205491,0.1945846881466177
Per_Sample_Accuracy,0.6456344696969697,0.6016566265060241,0.6573451327433628,0.6364033018867924,0.6832692307692307,0.6266744730679158,0.6585055643879174
Label_Stability,0.7156439393939394,0.6983734939759036,0.7831858407079646,0.7042216981132077,0.7622115384615386,0.7070257611241217,0.7214944356120827
TPR,0.5418250950570342,0.3888888888888889,0.2857142857142857,0.5733333333333334,0.3552631578947368,0.398876404494382,0.6149425287356322
TNR,0.7773584905660378,0.7872340425531915,0.8732394366197183,0.7412060301507538,0.8863636363636364,0.8152610441767069,0.7437722419928826
PPV,0.707196029776675,0.5833333333333334,0.5714285714285714,0.7146814404432132,0.6428571428571429,0.6068376068376068,0.7482517482517482
FNR,0.4581749049429657,0.6111111111111112,0.7142857142857143,0.4266666666666667,0.6447368421052632,0.601123595505618,0.3850574712643678
FPR,0.2226415094339622,0.2127659574468085,0.1267605633802817,0.2587939698492462,0.1136363636363636,0.1847389558232931,0.2562277580071174
Accuracy,0.6600378787878788,0.6144578313253012,0.6548672566371682,0.652122641509434,0.6923076923076923,0.6416861826697893,0.6724960254372019
F1,0.6135629709364908,0.4666666666666667,0.3809523809523809,0.6362515413070283,0.4576271186440678,0.4813559322033898,0.6750788643533123
Selection-Rate,0.3816287878787879,0.2891566265060241,0.1858407079646017,0.4257075471698113,0.2019230769230769,0.2740046838407494,0.4546899841017488
Positive-Rate,0.7661596958174905,0.6666666666666666,0.5,0.8022222222222222,0.5526315789473685,0.6573033707865169,0.8218390804597702
