index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6751893939393939,0.672566371681416,0.7567567567567568,0.6604434072345391,0.7386934673366834,0.6814988290398126,0.670906200317965
Mean,0.5249488733429031,0.583063016815988,0.581089691741467,0.5016867292723686,0.6251280566014364,0.6031800706815056,0.4718412083769519
Std,0.0257101055740727,0.0251963406688401,0.0284821865972607,0.0253827288591578,0.0271199640900629,0.025238664235043,0.0260301460379291
IQR,0.0348288009924891,0.0342508623299953,0.0375364861479657,0.0347110068530725,0.0353360853014338,0.0339025136825048,0.0354576160661986
Entropy,0.0,0.0,0.0,0.0,0.0972090630710375,0.0,0.096173238191044
Jitter,0.0598598580021319,0.0613204666399902,0.0676101226854985,0.0598548753100394,0.0598813161283812,0.0590147458604496,0.0604335668805077
Per_Sample_Accuracy,0.6705823863636363,0.6687020648967552,0.7291891891891892,0.6597491248541423,0.7172361809045227,0.6755971896955504,0.6671780604133545
Label_Stability,0.9171496212121212,0.9129793510324484,0.909009009009009,0.9167444574095682,0.9188944723618092,0.916768149882904,0.9174085850556438
TPR,0.6242299794661191,0.4701492537313433,0.5111111111111111,0.6618705035971223,0.4,0.4276729559748428,0.7195121951219512
TNR,0.718804920913884,0.8048780487804879,0.9242424242424242,0.6590909090909091,0.9224806201550388,0.832089552238806,0.6179401993355482
PPV,0.6551724137931034,0.6116504854368932,0.8214285714285714,0.647887323943662,0.7368421052631579,0.6017699115044248,0.6723646723646723
FNR,0.3757700205338809,0.5298507462686567,0.4888888888888889,0.3381294964028777,0.6,0.5723270440251572,0.2804878048780488
FPR,0.281195079086116,0.1951219512195122,0.0757575757575757,0.3409090909090909,0.0775193798449612,0.167910447761194,0.3820598006644518
Accuracy,0.6751893939393939,0.672566371681416,0.7567567567567568,0.6604434072345391,0.7386934673366834,0.6814988290398126,0.670906200317965
F1,0.6393270241850684,0.5316455696202531,0.6301369863013698,0.6548042704626335,0.5185185185185185,0.5,0.695139911634757
Selection-Rate,0.4393939393939394,0.303834808259587,0.2522522522522522,0.4970828471411902,0.1909547738693467,0.2646370023419204,0.5580286168521462
Positive-Rate,0.9527720739219712,0.7686567164179104,0.6222222222222222,1.0215827338129495,0.5428571428571428,0.710691823899371,1.070121951219512
