index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.665719696969697,0.6578171091445427,0.7117117117117117,0.6557759626604434,0.7085427135678392,0.667447306791569,0.6645468998410174
Mean,0.5295300630915651,0.5787043986310334,0.5525452838612426,0.5180160078126254,0.5791157182375515,0.585696235495539,0.491401357818915
Std,0.0256796042397539,0.0258706817752747,0.0278210897111797,0.0253814920513923,0.0269634341162659,0.0258729357213445,0.0255483601338093
IQR,0.0346508225848746,0.0353578961071646,0.0374419886380674,0.0341955112068286,0.0366116359064094,0.0354004252620112,0.0341419508151809
Entropy,0.0,0.0,0.0,0.0,0.1371031939166147,0.0,0.1785757785230843
Jitter,0.0979909014770824,0.0795590044618445,0.1080297885825485,0.1011757152155169,0.0842753970859316,0.0743559718969547,0.1140355993001573
Per_Sample_Accuracy,0.6675662878787878,0.6600737463126843,0.7090540540540541,0.658803967327888,0.7053015075376883,0.6684192037470726,0.6669872813990461
Label_Stability,0.8663825757575757,0.8924778761061948,0.8563063063063061,0.8610851808634773,0.8891959798994974,0.9003512880562062,0.8433227344992051
TPR,0.5811088295687885,0.3656716417910448,0.4888888888888889,0.6115107913669064,0.4,0.3459119496855345,0.6951219512195121
TNR,0.7381370826010545,0.848780487804878,0.8636363636363636,0.6977272727272728,0.875968992248062,0.8582089552238806,0.6312292358803987
PPV,0.6550925925925926,0.6125,0.7096774193548387,0.6572164948453608,0.6363636363636364,0.5913978494623656,0.672566371681416
FNR,0.4188911704312115,0.6343283582089553,0.5111111111111111,0.3884892086330935,0.6,0.6540880503144654,0.3048780487804878
FPR,0.2618629173989455,0.1512195121951219,0.1363636363636363,0.3022727272727272,0.1240310077519379,0.1417910447761194,0.3687707641196013
Accuracy,0.665719696969697,0.6578171091445427,0.7117117117117117,0.6557759626604434,0.7085427135678392,0.667447306791569,0.6645468998410174
F1,0.6158868335146899,0.4579439252336448,0.5789473684210527,0.6335403726708074,0.4912280701754385,0.4365079365079365,0.6836581709145427
Selection-Rate,0.4090909090909091,0.2359882005899705,0.2792792792792792,0.4527421236872812,0.2211055276381909,0.2177985948477751,0.5389507154213037
Positive-Rate,0.8870636550308009,0.5970149253731343,0.6888888888888889,0.9304556354916068,0.6285714285714286,0.5849056603773585,1.0335365853658536
