index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6893939393939394,0.6948640483383686,0.6608695652173913,0.684085510688836,0.7102803738317757,0.7116279069767442,0.6741214057507987
Mean,0.5388748049736023,0.6028555631637573,0.6164337992668152,0.512035071849823,0.6444777846336365,0.6199384927749634,0.4831920862197876
Std,0.0914131104946136,0.0855859145522117,0.1023359522223472,0.0890409350395202,0.1007466241717338,0.0886513590812683,0.0933101624250412
IQR,0.1229991941063693,0.1142887599608689,0.1400596577188243,0.1192824299007017,0.137623098130538,0.1190094463007394,0.1257397556980958
Entropy,0.2366741547029837,0.0,0.2569091285275368,0.0,0.2501031528114616,0.2170794768214481,0.0
Jitter,0.1505753197807215,0.132365149007869,0.1638387590124684,0.1478100120555266,0.161455642699475,0.1384253827275939,0.1589211231878242
Per_Sample_Accuracy,0.6724526515151514,0.6755891238670695,0.6721304347826088,0.6655166270783848,0.6997429906542056,0.6885348837209303,0.661405750798722
Label_Stability,0.7896780303030304,0.8118429003021147,0.7771304347826087,0.7937885985748219,0.7735046728971964,0.802046511627907,0.7811821086261981
TPR,0.6052104208416834,0.4661654135338345,0.42,0.6376811594202898,0.4470588235294118,0.4702380952380952,0.6737160120845922
TNR,0.7648114901256733,0.8484848484848485,0.8461538461538461,0.7289719626168224,0.8837209302325582,0.8664122137404581,0.6745762711864407
PPV,0.6974595842956121,0.6739130434782609,0.6774193548387096,0.6947368421052632,0.7169811320754716,0.6929824561403509,0.6990595611285266
FNR,0.3947895791583166,0.5338345864661654,0.58,0.3623188405797101,0.5529411764705883,0.5297619047619048,0.3262839879154078
FPR,0.2351885098743267,0.1515151515151515,0.1538461538461538,0.2710280373831775,0.1162790697674418,0.1335877862595419,0.3254237288135593
Accuracy,0.6893939393939394,0.6948640483383686,0.6608695652173913,0.684085510688836,0.7102803738317757,0.7116279069767442,0.6741214057507987
F1,0.648068669527897,0.5511111111111111,0.5185185185185185,0.6649874055415617,0.5507246376811594,0.5602836879432624,0.6861538461538461
Selection-Rate,0.4100378787878788,0.2779456193353474,0.2695652173913043,0.4513064133016627,0.2476635514018691,0.2651162790697674,0.5095846645367412
Positive-Rate,0.8677354709418837,0.6917293233082706,0.62,0.9178743961352656,0.6235294117647059,0.6785714285714286,0.9637462235649548
