index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.696969696969697,0.6737160120845922,0.7130434782608696,0.6864608076009501,0.7383177570093458,0.6953488372093023,0.6980830670926518
Mean,0.5395272812653311,0.6001328931177358,0.5716352494552301,0.5209592255346844,0.6125847715700256,0.6139513373269874,0.4884053258236184
Std,0.1068797582119208,0.09569776911169675,0.13268195605679067,0.1027261782885638,0.12322234837765264,0.0995049283308334,0.11194553592576681
IQR,0.13698888465723405,0.1209624507756514,0.17213865613992105,0.13247555001396064,0.15474695834712293,0.12408947636496279,0.1458495005768453
Entropy,0.2798427031909582,0.23743598818578035,0.3378039917706609,0.0,0.28748536409346626,0.23550167663225371,0.0
Jitter,0.17928625133242018,0.15063504835354202,0.22027616342583775,0.17745723868750066,0.18648264687925517,0.14985053172841012,0.19950567534156446
Per_Sample_Accuracy,0.665033143939394,0.6696978851963746,0.6616521739130434,0.6588717339667458,0.6892757009345795,0.6815930232558141,0.6536581469648564
Label_Stability,0.7450094696969697,0.7896676737160121,0.6822608695652175,0.7490736342042755,0.729018691588785,0.7882093023255814,0.7153354632587859
TPR,0.6132264529058116,0.42857142857142855,0.58,0.6352657004830918,0.5058823529411764,0.4226190476190476,0.7099697885196374
TNR,0.7719928186714542,0.8383838383838383,0.8153846153846154,0.735981308411215,0.8914728682170543,0.8702290076335878,0.6847457627118644
PPV,0.7066974595842956,0.6404494382022472,0.7073170731707317,0.699468085106383,0.7543859649122807,0.6761904761904762,0.7164634146341463
FNR,0.3867735470941884,0.5714285714285714,0.42,0.3647342995169082,0.49411764705882355,0.5773809523809523,0.29003021148036257
FPR,0.22800718132854578,0.16161616161616163,0.18461538461538463,0.26401869158878505,0.10852713178294573,0.1297709923664122,0.3152542372881356
Accuracy,0.696969696969697,0.6737160120845922,0.7130434782608696,0.6864608076009501,0.7383177570093458,0.6953488372093023,0.6980830670926518
F1,0.6566523605150214,0.5135135135135135,0.6373626373626373,0.6658227848101266,0.6056338028169014,0.5201465201465202,0.7132018209408194
Selection-Rate,0.4100378787878788,0.2688821752265861,0.3565217391304348,0.44655581947743467,0.26635514018691586,0.2441860465116279,0.5239616613418531
Positive-Rate,0.8677354709418837,0.6691729323308271,0.82,0.9082125603864735,0.6705882352941176,0.625,0.9909365558912386
