index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6600378787878788,0.6144578313253012,0.6548672566371682,0.652122641509434,0.6923076923076923,0.6416861826697893,0.6724960254372019
Mean,0.5421780303030301,0.603879518072289,0.6708613569321531,0.5118062106918237,0.6660016025641025,0.616414519906323,0.4917821939586644
Std,0.12022617542263678,0.12138713192854095,0.11903790760228691,0.12045358487688497,0.11929904457070183,0.12099167567195118,0.11970651150140105
IQR,0.16384154040404042,0.16410642570281125,0.16430678466076695,0.16393474842767294,0.16346153846153846,0.16373926619828258,0.16391096979332273
Entropy,0.3081913142624773,0.32049072423999986,0.2490584000246582,0.31789097331500965,0.2686465504329228,0.31414005558534314,0.3041529795329644
Jitter,0.19755148850312215,0.20709602228009188,0.15539467247742073,0.20470524793780168,0.16838616157711656,0.2019217869205491,0.19458468814661772
Per_Sample_Accuracy,0.6456344696969697,0.6016566265060241,0.6573451327433628,0.6364033018867924,0.6832692307692307,0.6266744730679158,0.6585055643879174
Label_Stability,0.7156439393939394,0.6983734939759036,0.7831858407079646,0.7042216981132077,0.7622115384615386,0.7070257611241217,0.7214944356120827
TPR,0.5418250950570342,0.3888888888888889,0.2857142857142857,0.5733333333333334,0.35526315789473684,0.398876404494382,0.6149425287356322
TNR,0.7773584905660378,0.7872340425531915,0.8732394366197183,0.7412060301507538,0.8863636363636364,0.8152610441767069,0.7437722419928826
PPV,0.707196029776675,0.5833333333333334,0.5714285714285714,0.7146814404432132,0.6428571428571429,0.6068376068376068,0.7482517482517482
FNR,0.45817490494296575,0.6111111111111112,0.7142857142857143,0.4266666666666667,0.6447368421052632,0.601123595505618,0.3850574712643678
FPR,0.22264150943396227,0.2127659574468085,0.1267605633802817,0.25879396984924624,0.11363636363636363,0.18473895582329317,0.25622775800711745
Accuracy,0.6600378787878788,0.6144578313253012,0.6548672566371682,0.652122641509434,0.6923076923076923,0.6416861826697893,0.6724960254372019
F1,0.6135629709364908,0.4666666666666667,0.38095238095238093,0.6362515413070283,0.4576271186440678,0.48135593220338985,0.6750788643533123
Selection-Rate,0.3816287878787879,0.2891566265060241,0.18584070796460178,0.4257075471698113,0.20192307692307693,0.27400468384074944,0.4546899841017488
Positive-Rate,0.7661596958174905,0.6666666666666666,0.5,0.8022222222222222,0.5526315789473685,0.6573033707865169,0.8218390804597702
