index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6950757575757576,0.6888217522658611,0.6869565217391305,0.6912114014251781,0.7102803738317757,0.7,0.6916932907348243
Mean,0.5379143843369046,0.5975590431537767,0.5352912851939773,0.5274655375972366,0.5790262018827013,0.6049887271848624,0.4918409539461349
Std,0.0830928990740747,0.078370668380312,0.0811060551601125,0.0838462911200475,0.0801286182202937,0.0785139981153795,0.0862381505313254
IQR,0.1055710828870564,0.1008659827768906,0.1028848727615353,0.1069453233254622,0.1001640247135153,0.0999767005122477,0.1094138695023402
Entropy,0.2039675117032142,0.1835210060009767,0.2297669426701879,0.0,0.2037234702296692,0.1812071562986067,0.0
Jitter,0.1205101739759409,0.1080125704048855,0.1385667467773807,0.120071616992326,0.1222357112666116,0.1069195979899513,0.1298455536468293
Per_Sample_Accuracy,0.6701089015151515,0.6683685800604229,0.6662608695652174,0.6655581947743469,0.6880140186915888,0.6787093023255814,0.6642012779552715
Label_Stability,0.8445549242424243,0.8616918429003022,0.8160000000000001,0.8469833729216152,0.8350000000000001,0.8606279069767443,0.8335143769968051
TPR,0.6292585170340681,0.4736842105263157,0.62,0.6473429951690821,0.5411764705882353,0.4642857142857143,0.7129909365558912
TNR,0.7540394973070018,0.8333333333333334,0.7384615384615385,0.7336448598130841,0.8217054263565892,0.851145038167939,0.6677966101694915
PPV,0.6962305986696231,0.65625,0.6458333333333334,0.7015706806282722,0.6666666666666666,0.6666666666666666,0.7065868263473054
FNR,0.3707414829659318,0.5263157894736842,0.38,0.3526570048309179,0.4588235294117647,0.5357142857142857,0.2870090634441087
FPR,0.2459605026929982,0.1666666666666666,0.2615384615384615,0.2663551401869158,0.1782945736434108,0.148854961832061,0.3322033898305084
Accuracy,0.6950757575757576,0.6888217522658611,0.6869565217391305,0.6912114014251781,0.7102803738317757,0.7,0.6916932907348243
F1,0.6610526315789473,0.5502183406113537,0.6326530612244898,0.6733668341708543,0.5974025974025974,0.5473684210526316,0.7097744360902256
Selection-Rate,0.4270833333333333,0.2900302114803625,0.417391304347826,0.4536817102137767,0.322429906542056,0.2720930232558139,0.5335463258785943
Positive-Rate,0.9038076152304608,0.7218045112781954,0.96,0.9227053140096618,0.8117647058823529,0.6964285714285714,1.0090634441087614
