index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6884469696969697,0.6878787878787879,0.6808510638297872,0.6888111888111889,0.6868686868686869,0.6889400921658986,0.6881028938906752
Mean,0.5387187499999999,0.6020676767676765,0.5363758865248224,0.5291573426573425,0.5801515151515151,0.6062972350230413,0.4915659163987136
Std,0.1170541495229045,0.1139661007815711,0.1193727737450749,0.117020557735001,0.1171997139371531,0.1142703131000869,0.1189965691491149
IQR,0.162042297979798,0.1568686868686868,0.1673758865248226,0.1608780108780108,0.167087542087542,0.1592549923195084,0.1639871382636656
Entropy,0.3002609344037243,0.2622328135895144,0.0,0.2965857998085081,0.0,0.2712860455004506,0.3204781398442723
Jitter,0.1914476263895235,0.1646761078117487,0.2172725328771517,0.1883769664171667,0.2047538196030642,0.1715685570710714,0.2053182310265129
Per_Sample_Accuracy,0.6526373106060606,0.6548181818181819,0.6284042553191489,0.6530536130536131,0.6508333333333334,0.658721198156682,0.6483922829581993
Label_Stability,0.7305587121212122,0.7696969696969697,0.6857446808510638,0.7359207459207459,0.7073232323232322,0.7594239631336406,0.7104180064308682
TPR,0.610655737704918,0.4962962962962963,0.5517241379310345,0.6309523809523809,0.4852941176470588,0.4827586206896552,0.6815286624203821
TNR,0.7552816901408451,0.8205128205128205,0.7384615384615385,0.7442922374429224,0.7923076923076923,0.8269230769230769,0.6948051948051948
PPV,0.6819221967963387,0.6568627450980392,0.4848484848484848,0.7029177718832891,0.55,0.6511627906976745,0.6948051948051948
FNR,0.3893442622950819,0.5037037037037037,0.4482758620689655,0.369047619047619,0.5147058823529411,0.5172413793103449,0.3184713375796178
FPR,0.2447183098591549,0.1794871794871795,0.2615384615384615,0.2557077625570776,0.2076923076923077,0.173076923076923,0.3051948051948052
Accuracy,0.6884469696969697,0.6878787878787879,0.6808510638297872,0.6888111888111889,0.6868686868686869,0.6889400921658986,0.6881028938906752
F1,0.6443243243243243,0.5654008438818565,0.5161290322580645,0.6649937264742786,0.515625,0.5544554455445545,0.6881028938906752
Selection-Rate,0.4138257575757575,0.3090909090909091,0.351063829787234,0.4393939393939394,0.303030303030303,0.2972350230414746,0.495176848874598
Positive-Rate,0.8954918032786885,0.7555555555555555,1.137931034482759,0.8976190476190476,0.8823529411764706,0.7413793103448276,0.9808917197452228
