index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6808712121212122,0.6686746987951807,0.6814159292035398,0.6757075471698113,0.7019230769230769,0.6814988290398126,0.6804451510333863
Mean,0.5314638894311051,0.5779993204728425,0.5493689132830493,0.5210293809944728,0.5740045776727594,0.5836300687398902,0.4960506007747438
Std,0.0400507833943313,0.0390115958080274,0.0374184777071924,0.0405561718613747,0.0379903534902314,0.0389357268227646,0.0408077454866349
IQR,0.0534823398905118,0.0520634906966283,0.0500173343395534,0.0541759155007544,0.0506546854795225,0.0519187229757652,0.0545438095607769
Entropy,0.0,0.0967775679032406,0.0,0.1005521103258774,0.0,0.098506152403756,0.0
Jitter,0.0624568391198415,0.0580786462432729,0.0747231733890824,0.0609857660946241,0.0684542906841905,0.0587280665623194,0.0649881362296378
Per_Sample_Accuracy,0.6744744318181818,0.6591867469879518,0.6807079646017699,0.668685141509434,0.698076923076923,0.6724355971896956,0.675858505564388
Label_Stability,0.9175284090909092,0.9241566265060244,0.8980530973451328,0.9193514150943396,0.910096153846154,0.924215456674473,0.9129888712241652
TPR,0.591254752851711,0.4930555555555556,0.5,0.6088888888888889,0.4868421052631579,0.4887640449438202,0.6436781609195402
TNR,0.769811320754717,0.8031914893617021,0.7887323943661971,0.7512562814070352,0.8257575757575758,0.8192771084337349,0.7259786476868327
PPV,0.7182448036951501,0.6574074074074074,0.5833333333333334,0.7345844504021448,0.6166666666666667,0.6590909090909091,0.7441860465116279
FNR,0.4087452471482889,0.5069444444444444,0.5,0.3911111111111111,0.5131578947368421,0.5112359550561798,0.3563218390804598
FPR,0.230188679245283,0.1968085106382978,0.2112676056338028,0.2487437185929648,0.1742424242424242,0.180722891566265,0.2740213523131672
Accuracy,0.6808712121212122,0.6686746987951807,0.6814159292035398,0.6757075471698113,0.7019230769230769,0.6814988290398126,0.6804451510333863
F1,0.64859228362878,0.5634920634920635,0.5384615384615384,0.6658566221142163,0.5441176470588235,0.5612903225806452,0.6902927580893683
Selection-Rate,0.4100378787878788,0.3253012048192771,0.3185840707964602,0.4398584905660377,0.2884615384615384,0.3091334894613583,0.4785373608903021
Positive-Rate,0.8231939163498099,0.75,0.8571428571428571,0.8288888888888889,0.7894736842105263,0.7415730337078652,0.8649425287356322
