index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6950757575757576,0.6888217522658611,0.6869565217391305,0.6912114014251781,0.7102803738317757,0.7,0.6916932907348243
Mean,0.5379143843369046,0.5975590431537767,0.5352912851939773,0.5274655375972366,0.5790262018827013,0.6049887271848624,0.4918409539461349
Std,0.08309289907407473,0.07837066838031202,0.08110605516011252,0.08384629112004756,0.08012861822029373,0.07851399811537954,0.08623815053132541
IQR,0.1055710828870564,0.10086598277689066,0.10288487276153531,0.10694532332546229,0.10016402471351538,0.09997670051224776,0.10941386950234026
Entropy,0.20396751170321423,0.1835210060009767,0.2297669426701879,0.0,0.20372347022966925,0.18120715629860673,0.0
Jitter,0.12051017397594099,0.10801257040488554,0.13856674677738073,0.12007161699232603,0.12223571126661167,0.10691959798995136,0.1298455536468293
Per_Sample_Accuracy,0.6701089015151515,0.6683685800604229,0.6662608695652174,0.6655581947743469,0.6880140186915888,0.6787093023255814,0.6642012779552715
Label_Stability,0.8445549242424243,0.8616918429003022,0.8160000000000001,0.8469833729216152,0.8350000000000001,0.8606279069767443,0.8335143769968051
TPR,0.6292585170340681,0.47368421052631576,0.62,0.6473429951690821,0.5411764705882353,0.4642857142857143,0.7129909365558912
TNR,0.7540394973070018,0.8333333333333334,0.7384615384615385,0.7336448598130841,0.8217054263565892,0.851145038167939,0.6677966101694915
PPV,0.6962305986696231,0.65625,0.6458333333333334,0.7015706806282722,0.6666666666666666,0.6666666666666666,0.7065868263473054
FNR,0.37074148296593185,0.5263157894736842,0.38,0.3526570048309179,0.4588235294117647,0.5357142857142857,0.28700906344410876
FPR,0.2459605026929982,0.16666666666666666,0.26153846153846155,0.26635514018691586,0.17829457364341086,0.14885496183206107,0.33220338983050846
Accuracy,0.6950757575757576,0.6888217522658611,0.6869565217391305,0.6912114014251781,0.7102803738317757,0.7,0.6916932907348243
F1,0.6610526315789473,0.5502183406113537,0.6326530612244898,0.6733668341708543,0.5974025974025974,0.5473684210526316,0.7097744360902256
Selection-Rate,0.4270833333333333,0.29003021148036257,0.41739130434782606,0.45368171021377673,0.32242990654205606,0.27209302325581397,0.5335463258785943
Positive-Rate,0.9038076152304609,0.7218045112781954,0.96,0.9227053140096618,0.8117647058823529,0.6964285714285714,1.0090634441087614
