index,overall,sex_race_priv,sex_race_dis,sex_priv,sex_dis,race_priv,race_dis
General_Ensemble_Accuracy,0.6808712121212122,0.6686746987951807,0.6814159292035398,0.6757075471698113,0.7019230769230769,0.6814988290398126,0.6804451510333863
Mean,0.5314638894311051,0.5779993204728425,0.5493689132830493,0.5210293809944728,0.5740045776727594,0.5836300687398902,0.4960506007747438
Std,0.04005078339433136,0.039011595808027454,0.03741847770719248,0.04055617186137473,0.03799035349023145,0.03893572682276465,0.04080774548663499
IQR,0.053482339890511814,0.05206349069662834,0.05001733433955341,0.05417591550075448,0.050654685479522524,0.051918722975765254,0.05454380956077698
Entropy,0.0,0.09677756790324069,0.0,0.10055211032587745,0.0,0.09850615240375607,0.0
Jitter,0.06245683911984152,0.058078646243272976,0.07472317338908241,0.06098576609462419,0.0684542906841905,0.05872806656231941,0.06498813622963781
Per_Sample_Accuracy,0.6744744318181818,0.6591867469879518,0.6807079646017699,0.668685141509434,0.698076923076923,0.6724355971896956,0.675858505564388
Label_Stability,0.9175284090909092,0.9241566265060243,0.8980530973451328,0.9193514150943396,0.9100961538461539,0.924215456674473,0.9129888712241653
TPR,0.591254752851711,0.4930555555555556,0.5,0.6088888888888889,0.4868421052631579,0.4887640449438202,0.6436781609195402
TNR,0.769811320754717,0.8031914893617021,0.7887323943661971,0.7512562814070352,0.8257575757575758,0.8192771084337349,0.7259786476868327
PPV,0.7182448036951501,0.6574074074074074,0.5833333333333334,0.7345844504021448,0.6166666666666667,0.6590909090909091,0.7441860465116279
FNR,0.40874524714828897,0.5069444444444444,0.5,0.39111111111111113,0.5131578947368421,0.5112359550561798,0.3563218390804598
FPR,0.23018867924528302,0.19680851063829788,0.2112676056338028,0.24874371859296482,0.17424242424242425,0.18072289156626506,0.27402135231316727
Accuracy,0.6808712121212122,0.6686746987951807,0.6814159292035398,0.6757075471698113,0.7019230769230769,0.6814988290398126,0.6804451510333863
F1,0.64859228362878,0.5634920634920635,0.5384615384615384,0.6658566221142163,0.5441176470588235,0.5612903225806452,0.6902927580893683
Selection-Rate,0.4100378787878788,0.3253012048192771,0.3185840707964602,0.43985849056603776,0.28846153846153844,0.3091334894613583,0.4785373608903021
Positive-Rate,0.8231939163498099,0.75,0.8571428571428571,0.8288888888888889,0.7894736842105263,0.7415730337078652,0.8649425287356322
