index,overall,SEX_RAC1P_priv,SEX_RAC1P_dis,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis
General_Ensemble_Accuracy,0.8069,0.8348,0.7843,0.8349,0.7798,0.8061,0.8083
Mean,0.5529,0.4962,0.5931,0.5196,0.585,0.5383,0.5806
Std,0.0108,0.0103,0.0123,0.0107,0.0109,0.0102,0.0119
IQR,0.0144,0.0138,0.0164,0.0143,0.0145,0.0136,0.0159
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jitter,0.0142,0.013,0.0144,0.0136,0.0147,0.014,0.0146
Per_Sample_Accuracy,0.8061,0.834,0.7836,0.8342,0.779,0.8052,0.8077
Label_Stability,0.9801,0.9818,0.98,0.9809,0.9793,0.9803,0.9796
TPR,0.8319831317278882,0.8868483412322274,0.7784974093264249,0.883288015059611,0.7739952718676123,0.8356977895084131,0.8243472363513056
TNR,0.7865591397849462,0.7803897309000928,0.7884796978281398,0.7896484375,0.7839403973509934,0.7809923130677847,0.7965043695380774
PPV,0.7588824779836015,0.8083153347732182,0.7284848484848485,0.7967924528301886,0.7150032758244158,0.7637569727121966,0.7489217498459643
FNR,0.1680168682721118,0.1131516587677725,0.2215025906735751,0.116711984940389,0.2260047281323877,0.1643022104915869,0.1756527636486944
FPR,0.2134408602150537,0.2196102690999072,0.2115203021718602,0.2103515625,0.2160596026490066,0.2190076869322152,0.2034956304619226
Accuracy,0.8068514203559566,0.8347707671357241,0.7842708902239214,0.8348651651348349,0.7798442064264849,0.8060830748278732,0.8083117630140926
F1,0.7937533086289041,0.8457627118644068,0.7526612398246713,0.8378137089574447,0.7433306845271881,0.7981094919259552,0.7848264729620662
Selection-Rate,0.489762530365376,0.5604478741110607,0.4505734571272529,0.5352994647005354,0.4458617332035053,0.5018536732995384,0.4667817083692838
Positive-Rate,1.0963267117966928,1.0971563981042654,1.0686528497409329,1.1085546956703618,1.0825059101654846,1.0941933355328275,1.1007121057985758
