index,overall,SEX_RAC1P_priv,SEX_RAC1P_dis,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis
General_Ensemble_Accuracy,0.8236,0.8541,0.8042,0.8566,0.7918,0.8196,0.8313
Mean,0.5532,0.5016,0.5775,0.5215,0.5838,0.5444,0.5699
Std,0.0198,0.0195,0.0215,0.0191,0.0205,0.0197,0.0201
IQR,0.0253,0.0249,0.0278,0.0244,0.0262,0.0251,0.0258
Entropy,0.0,0.0,0.0512,0.0,0.0459,0.0348,0.0
Jitter,0.0233,0.017,0.0331,0.0166,0.0297,0.0224,0.0249
Per_Sample_Accuracy,0.8226,0.8535,0.8007,0.8558,0.7907,0.8193,0.829
Label_Stability,0.9678,0.9765,0.9546,0.977,0.9589,0.9689,0.9658
TPR,0.8692708911330596,0.8726303317535545,0.8821243523316062,0.8799414348462665,0.857210401891253,0.8594523259650281,0.8894540522210919
TNR,0.7867383512544803,0.8348283328178163,0.7474032105760151,0.834765625,0.7460264900662251,0.7857442348008385,0.7885143570536829
PPV,0.7669636737491432,0.846551724137931,0.7179757511860833,0.8325747080942014,0.7027131782945737,0.772653121755895,0.7559077809798271
FNR,0.1307291088669404,0.1273696682464455,0.1178756476683937,0.1200585651537335,0.142789598108747,0.1405476740349719,0.1105459477789081
FPR,0.2132616487455197,0.1651716671821837,0.2525967894239849,0.165234375,0.2539735099337748,0.2142557651991614,0.2114856429463171
Accuracy,0.8236081503148084,0.8541382962626721,0.804205352266521,0.8565801434198566,0.7918208373904576,0.8195505788000302,0.8313201035375324
F1,0.8149188514357054,0.8593932322053676,0.7916303400174368,0.855603009965426,0.772310969116081,0.8137446310035142,0.8172612556472971
Selection-Rate,0.5063209558276734,0.5265546981389015,0.5180229382850902,0.5103524896475103,0.5024342745861733,0.5101762881137929,0.4989933851020995
Positive-Rate,1.1333925202530242,1.0308056872037914,1.2286269430051813,1.0568918636268565,1.2198581560283688,1.1123391619927416,1.17667005764666
